l_id;wkt_srid_4326;24 Hous rel;24 Hours abs;100 Hours average abs;100 Hours max abs;100 Hours max average rel;cap;;;;;;;;;;;;;;;
l11;"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)";0.056023542;95.24002169;67.38550019;94.88019539;0.05581188;1700;;l11;"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)";;;;;;;;;;l11;67.38550019;94.88019539
l12;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)";0.12995201;220.9184164;236.0930022;526.2875456;0.309580909;1700;;l12;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.6834769666546 54.1390906406635)";;;;;;;;;;l12;236.0930022;526.2875456
l13;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)";0.132610287;225.4374887;210.0558285;506.7954622;0.298114978;1700;;l13;"SRID=4326;LINESTRING(13.4947633747219 52.5897644435618,13.7096697058228 52.5397952580643)";;;;;;;;;;l13;210.0558285;506.7954622
l14;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";0.053967942;91.74550169;111.2484435;111.8102926;0.06577076;1700;;l14;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.8681562938884 48.2068029185353)";;;;;;;;;;l14;111.2484435;111.8102926
l15;"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)";0.649646707;636.6537729;970.3857074;980;1;980;;l15;"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8681562938884 48.2068029185353)";;;;;;;;;;l15;970.3857074;980
l16;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)";0.248757274;121.8910641;67.81539925;209.4483218;0.427445555;490;;l16;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,11.2939727001158 48.0520427719624)";;;;;;;;;;l16;67.81539925;209.4483218
l17;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)";0.069956326;118.9257534;141.396322;428.8271902;0.252251288;1700;;l17;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,10.1575015165126 53.5551316685834)";;;;;;;;;;l17;141.396322;428.8271902
l18;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)";0.105787625;179.8389629;133.820632;208.4359369;0.122609375;1700;;l18;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.20210420095253 53.8951574100045)";;;;;;;;;;l18;133.820632;208.4359369
l19;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)";0.104812332;51.35804275;318.5341152;476.4520713;0.972351166;490;;l19;"SRID=4326;LINESTRING(9.98460982000897 53.7411287759659,9.98853660865951 53.766277668594)";;;;;;;;;;l19;318.5341152;476.4520713
l20;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)";0.131143545;64.26033698;151.8466623;292.4531158;0.596843094;490;;l20;"SRID=4326;LINESTRING(9.98853660865951 53.766277668594,9.72699196993402 54.2914209867842)";;;;;;;;;;l20;151.8466623;292.4531158
