v_id;lon;lat;typ;voltage;frequency;name;operator;ref;wkt_srid_4326
105;6.680795635;51.64629728;substation;"380000;220000;110000";;Station Niederrhein;RWE;;"SRID=4326;POINT(6.68079563463015 51.6462972769253)"
106;7.167214635;51.38990678;substation;"380000;220000;110000";50;Station Hattingen;Amprion;;"SRID=4326;POINT(7.16721463545721 51.3899067765993)"
107;7.125572946;51.44897728;substation;"380000;220000";50;Station Eiberg;RWE;;"SRID=4326;POINT(7.12557294579876 51.4489772806916)"
108;6.99606887;51.51416961;substation;"380000;110000";50;Station Karnap;;;"SRID=4326;POINT(6.99606886995841 51.5141696109019)"
109;7.313182874;51.44661141;substation;380000;50;Witten;RWE;;"SRID=4326;POINT(7.31318287435069 51.4466114132712)"
110;7.99288732;51.68370772;substation;380000;50;Station Uentrop;RWE;;"SRID=4326;POINT(7.99288732000281 51.6837077158762)"
111;8.624800556;51.42788841;substation;"380000;110000";50;Station Nehden;Amprion;;"SRID=4326;POINT(8.62480055555283 51.4278884079658)"
112;7.353111882;51.57581054;substation;380000;50;Station Mengede;RWE;;"SRID=4326;POINT(7.35311188155085 51.5758105365035)"
113;7.123238869;51.5256122;substation;"380000;110000";50;Station Hüllen;RWE;;"SRID=4326;POINT(7.12323886855291 51.5256121997715)"
114;8.211705429;51.17798501;substation;"380000;110000";50;Station Arpe;Amprion;;"SRID=4326;POINT(8.2117054289867 51.1779850077285)"
115;6.576482113;51.05559548;plant;;;RWE Kraftwerk Frimmersdorf;;;"SRID=4326;POINT(6.57648211320418 51.0555954842661)"
116;6.772523144;51.14710552;substation;"220000;110000";50;Station Norf;;;"SRID=4326;POINT(6.77252314401924 51.1471055233119)"
117;6.972577489;50.79569302;substation;"380000;220000;110000";;Station Sechtem;RWE;;"SRID=4326;POINT(6.97257748891579 50.795693016675)"
118;7.136894718;50.64286088;substation;"380000;110000";50;Station Ließem;Amprion;;"SRID=4326;POINT(7.13689471769255 50.6428608849405)"
119;6.456552519;50.87133807;substation;"380000;110000";50;Station Oberzier;Net;;"SRID=4326;POINT(6.45655251893853 50.8713380734833)"
120;7.863945714;50.76824193;substation;"380000;220000;110000";50;Station Dauersberg;RWE;;"SRID=4326;POINT(7.86394571439194 50.7682419302039)"
121;6.321665216;50.8383475;plant;;;RWE Kraftwerk Weisweiler;RWE;;"SRID=4326;POINT(6.32166521557731 50.8383474955825)"
122;6.167381729;50.80204433;substation;"380000;110000";50;Station Verlautenheide;Amprion;;"SRID=4326;POINT(6.16738172896202 50.8020443318383)"
123;6.702197213;51.00885974;substation;"380000;220000";50;Umspannwerk Rommerskirchen;RWE;;"SRID=4326;POINT(6.70219721289106 51.0088597430362)"
124;6.612402368;51.0359243;substation;"380000;220000;110000";50;KW Neurath;;;"SRID=4326;POINT(6.61240236819431 51.0359242961049)"
125;6.96568446;51.06932954;substation;"380000;220000;110000";;Station Opladen;RWE;;"SRID=4326;POINT(6.96568445966487 51.0693295406357)"
126;7.233196889;51.23250691;substation;"380000;110000";50;Station Linde;RWE;;"SRID=4326;POINT(7.23319688909308 51.2325069074323)"
127;6.300901264;50.82895324;substation;"380000;110000";50;Umspannwerk Weisweiler;;;"SRID=4326;POINT(6.30090126366431 50.8289532360211)"
129;6.625829037;51.26061126;substation;"220000;110000";50;Station Osterath;RWE;;"SRID=4326;POINT(6.62582903685647 51.2606112581148)"
130;7.123081983;51.1715888;substation;"380000;110000";50;Station Halfeshof;;;"SRID=4326;POINT(7.12308198261157 51.1715887959352)"
131;6.801093372;51.12253909;substation;"380000;220000";50;Station Sankt Peter 380 kV;RWE;;"SRID=4326;POINT(6.80109337218585 51.1225390893163)"
132;7.008779171;51.17425494;substation;"380000;110000";50;Station Ohligs;Amprion;;"SRID=4326;POINT(7.00877917051357 51.1742549445955)"
133;6.84265069;50.86353852;substation;"380000;110000";;Station Knapsack;Amprion;;"SRID=4326;POINT(6.84265069037124 50.8635385173748)"
134;6.804616244;50.96624777;substation;"220000;110000";;Station Brauweiler;RWE;;"SRID=4326;POINT(6.80461624403732 50.9662477744576)"
135;7.718627245;51.53420753;substation;"380000;110000";;Station Unna;Amprion;;"SRID=4326;POINT(7.71862724482037 51.5342075253387)"
136;7.930770122;51.67297101;substation;380000;;Geithe;Trianel;;"SRID=4326;POINT(7.93077012209125 51.6729710114195)"
137;6.221831491;51.69464565;substation;"220000;110000";;Station Pfalzdorf;RWE;;"SRID=4326;POINT(6.22183149094702 51.6946456455863)"
138;7.006749918;51.59991144;plant;;;Kraftwerk Scholven;;;"SRID=4326;POINT(7.00674991840299 51.5999114356605)"
139;7.037619929;51.59854963;substation;"220000;110000";;Station Bergmannsglück;RWE;;"SRID=4326;POINT(7.03761992937395 51.5985496345954)"
140;7.26408348;51.57357344;substation;"220000;110000";50;Station Pöppinghausen;Amprion;;"SRID=4326;POINT(7.26408347971959 51.5735734400302)"
141;7.278947326;51.47228142;substation;"220000;110000";50;Station Laer;Amprion;;"SRID=4326;POINT(7.27894732573719 51.4722814207425)"
142;7.186677574;51.55058909;plant;;;Kraftwerk Herne Baukau;Evonik Industries AG;;"SRID=4326;POINT(7.18667757416348 51.5505890861964)"
143;7.351357898;51.56836863;plant;;;Kraftwerk Knepper;E.On Kraftwerke GmbH;;"SRID=4326;POINT(7.35135789785079 51.5683686345539)"
144;7.179379183;51.47220196;substation;"220000;110000";;Station Bochum;Amprion;;"SRID=4326;POINT(7.17937918293452 51.4722019618656)"
145;6.934888721;51.03352237;substation;"220000;110000";50;UW Fühlingen;RheinEnergie;;"SRID=4326;POINT(6.93488872133436 51.033522366054)"
146;6.828046633;51.16265238;substation;"220000;110000";50;Station Reisholz;;;"SRID=4326;POINT(6.82804663323414 51.1626523772377)"
147;7.505979862;51.40160124;substation;"220000;110000";;Umspannwerk Garenfeld;markE;;"SRID=4326;POINT(7.50597986222128 51.4016012425797)"
148;6.846999356;51.20559177;substation;"220000;110000";50;Station Eller;"RWE;Stadtwerke Düsseldorf";;"SRID=4326;POINT(6.84699935555237 51.2055917675691)"
149;7.193165815;50.79833508;substation;"220000;110000";;Station Siegburg;RWE;;"SRID=4326;POINT(7.19316581458292 50.7983350844101)"
150;7.047384546;50.90552864;substation;"220000;110000";50;Station Gremberghoven;RWE;;"SRID=4326;POINT(7.04738454562441 50.9055286430507)"
151;6.709755945;51.09093249;substation;"220000;110000";;Station Gohrpunkt;Amprion;;"SRID=4326;POINT(6.7097559453279 51.0909324851035)"
153;6.330006262;51.24291664;substation;"380000;220000;110000";50;Station Dülken;RWE;;"SRID=4326;POINT(6.33000626218352 51.2429166388389)"
154;7.023544552;50.99906842;substation;220000;50;Station Dünnwald;;;"SRID=4326;POINT(7.0235445515269 50.9990684211965)"
155;7.724384091;51.40933415;substation;"220000;110000";50;Umspannwerk Bixterheide;Amprion;;"SRID=4326;POINT(7.72438409063489 51.4093341491518)"
156;6.842231196;50.85986473;substation;"380000;220000";;Kraftwerkschaltanlage Knapsack 1;;;"SRID=4326;POINT(6.84223119628968 50.8598647273121)"
157;8.364229588;51.92712051;substation;"380000;220000;110000;10000";50;Umspannwerk Blankenhagen;Amprion;;"SRID=4326;POINT(8.36422958832611 51.9271205112378)"
158;6.488123261;50.88107033;substation;380000;50;Station Hambach;RWE;;"SRID=4326;POINT(6.48812326066423 50.8810703279012)"
159;8.054087407;53.33230271;substation;"380000;220000;110000";50;Conneforde;TenneT;CONN;"SRID=4326;POINT(8.05408740677995 53.332302708936)"
160;8.477910636;53.4284855;substation;"380000;220000";50;Kernkraftwerk Unterweser;EON_Netz;;"SRID=4326;POINT(8.47791063608626 53.428485495717)"
161;8.052837568;53.33388097;substation;"220000;110000";50;Conneforde 110/220 kV;"TenneT;EON_Netz";CONN;"SRID=4326;POINT(8.05283756803222 53.3338809660191)"
162;6.851532617;50.98416652;substation;"220000;110000";50;Bocklemünd;;;"SRID=4326;POINT(6.85153261718464 50.9841665158571)"
163;6.596019847;50.95252747;substation;"380000;110000";50;Station Paffendorf;Amprion;;"SRID=4326;POINT(6.59601984709512 50.9525274662191)"
164;7.338612619;51.63197816;substation;"380000;110000";"50;16.7";Schaltanlage Datteln 4;E.ON;;"SRID=4326;POINT(7.33861261905923 51.6319781599433)"
165;7.708318519;51.67620333;substation;"380000;220000;110000";50;Station Gersteinwerk;Amprion;;"SRID=4326;POINT(7.7083185190139 51.6762033258373)"
166;7.61702105;51.63713378;plant;;;Kraftwerk Bergkamen;"RWE; evonik";;"SRID=4326;POINT(7.61702105012869 51.6371337810622)"
167;7.522280126;51.53219806;substation;"220000;110000";50;Station Wambel;Ampirion;;"SRID=4326;POINT(7.52228012599778 51.5321980611413)"
168;6.906607841;51.56524245;substation;"380000;110000";50;Station Nordlicht;"RWE; ELE";;"SRID=4326;POINT(6.90660784108641 51.5652424548867)"
169;6.967343956;51.4908619;substation;220000;50;LMG;;;"SRID=4326;POINT(6.96734395630657 51.490861901735)"
170;6.872873676;51.44578339;substation;"220000;110000";50;Styrum;;;"SRID=4326;POINT(6.87287367577891 51.4457833914382)"
171;6.868045007;51.3744748;substation;"220000;110000";;Station Selbeck;RWE;;"SRID=4326;POINT(6.86804500654219 51.374474803487)"
172;6.787529925;51.50554942;substation;"220000;110000";50;Station Hamborn;Amprion;;"SRID=4326;POINT(6.78752992543912 51.5055494229858)"
173;6.622843244;51.2587134;substation;380000;50;Station Osterath;RWE;;"SRID=4326;POINT(6.62284324444971 51.2587133994989)"
174;6.812165898;51.51962004;substation;"220000;110000";50;Station Handbach;Amprion;;"SRID=4326;POINT(6.81216589807283 51.5196200390464)"
175;6.720310042;51.39153258;substation;220000;;Station Rheinhausen;Amprion;;"SRID=4326;POINT(6.72031004220211 51.391532581128)"
176;6.542408439;51.29944583;substation;"220000;110000";50;Station Edelstahl Krefeld;;;"SRID=4326;POINT(6.54240843928532 51.2994458346854)"
177;13.07864215;54.28484618;substation;"220000;110000";;Umspannwerk Lüdershagen;"50Hertz Transmission GmbH;E.ON edis AG";Lhg;"SRID=4326;POINT(13.078642146735 54.2848461827889)"
178;8.020290382;50.92361692;substation;220000;50;Setzer Wiese;RWE;;"SRID=4326;POINT(8.02029038221744 50.9236169231237)"
179;13.95700559;53.25217164;substation;"380000;220000";;Bertikow;50Hertz Transmission GmbH;;"SRID=4326;POINT(13.9570055873006 53.2521716356786)"
180;14.27083469;53.09628658;substation;"220000;110000";50;Vierraden;50Hertz Transmission GmbH;;"SRID=4326;POINT(14.2708346906575 53.0962865828729)"
181;14.03369639;53.50786859;substation;"220000;110000";;Pasewalk;"50Hertz Transmission GmbH;E.ON edis AG";;"SRID=4326;POINT(14.0336963902155 53.507868594058)"
182;14.47625213;53.19674954;substation;"400000;220000";;"Stacja elektroenergetyczna ""Krajnik"" 400/220 kV";PSE Operator;KRA;"SRID=4326;POINT(14.4762521312891 53.1967495435604)"
