l_id;wkt_srid_4326;;;;;;;
l20;"SRID=4326;LINESTRING(9.98853665499904 53.7662776782512,9.72699275106814 54.2914209859116)";0.798973844;782.9943671;980;2;;782.9943671;782.9943671
l21;"SRID=4326;LINESTRING(9.34476101692227 53.9218370813918,9.34400181356048 53.8517774981988)";0.038939211;132.3933191;3400;2;;132.3933191;132.3933191
l22;"SRID=4326;LINESTRING(9.34476101692227 53.9218370813918,9.20210266340539 53.8951623622383)";0.059351892;100.8982159;1700;1;;-100.8982159;100.8982159
l23;"SRID=4326;LINESTRING(9.98853665499904 53.7662776782512,9.52960514781347 53.618990731832)";0.288651206;141.439091;490;1;;-141.439091;141.439091
l24;"SRID=4326;LINESTRING(9.77654483603303 53.6906352940911,9.98853665499904 53.7662776782512)";0.181197286;88.78667036;490;1;;88.78667036;88.78667036
l25;"SRID=4326;LINESTRING(10.4149924241538 53.4126068813272,10.1575057595216 53.5551266364644)";0.211526109;359.5943849;1700;1;;359.5943849;359.5943849
l26;"SRID=4326;LINESTRING(10.3787706356666 53.2197927695925,10.3822011082464 52.9932426669735)";0.214855456;365.2542757;1700;1;;-365.2542757;365.2542757
l27;"SRID=4326;LINESTRING(9.74615085631454 50.9168400022101,11.1228546271538 50.9989090757631)";0.102065359;173.5111102;1700;1;;-173.5111102;173.5111102
l28;"SRID=4326;LINESTRING(11.1228546271538 50.9989090757631,10.3859411718194 51.0018133141165)";0.12524301;212.9131169;1700;1;;212.9131169;212.9131169
l29;"SRID=4326;LINESTRING(8.122642304058 53.5605160665145,8.08565060815886 53.6058342194744)";0.112466668;55.10866755;490;1;;-55.10866755;55.10866755
l30;"SRID=4326;LINESTRING(8.08565060815886 53.6058342194744,8.06005701182283 53.6202026205826)";0.100336933;49.16509721;490;1;;-49.16509721;49.16509721
l31;"SRID=4326;LINESTRING(9.11321011483187 52.5438533448625,9.91814868737007 52.3799963378317)";0.254997502;124.9487759;490;1;;124.9487759;124.9487759
l32;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,12.9416466491702 52.5621144028949)";0.062440426;106.1487234;1700;1;;-106.1487234;106.1487234
l33;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.2115276810432 52.5806278358522)";0.098743617;167.8641487;1700;1;;-167.8641487;167.8641487
l34;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,13.2115276810432 52.5806278358522)";0.075726972;128.7358529;1700;1;;-128.7358529;128.7358529
