l_id;wkt_srid_4326;;;;;;;
l174;"SRID=4326;LINESTRING(8.47791063608626 53.428485495717,8.05283756803222 53.3338809660191)";0.109831496;53.81743314;490;1;;-53.81743314;53.81743314
l175;"SRID=4326;LINESTRING(6.57648211320418 51.0555954842661,6.7097559453279 51.0909324851035)";0.5783261;283.3797892;490;1;;283.3797892;283.3797892
l176;"SRID=4326;LINESTRING(6.85153261718464 50.9841665158571,6.80461624403732 50.9662477744576)";1;490;490;1;;490;490
l177;"SRID=4326;LINESTRING(6.57648211320418 51.0555954842661,6.70219721289106 51.0088597430362)";0.908491859;445.1610111;490;1;;445.1610111;445.1610111
l178;"SRID=4326;LINESTRING(6.85153261718464 50.9841665158571,6.80461624403732 50.9662477744576)";1;490;490;1;;490;490
l179;"SRID=4326;LINESTRING(8.9396926172441 52.4030332405173,9.12526574244048 52.5382641233458)";0.432553189;1,471;3400;2;;1470.680844;1470.680844
l180;"SRID=4326;LINESTRING(6.70219721289106 51.0088597430362,6.59601984709512 50.9525274662191)";0.491192909;835.0279456;1700;1;;835.0279456;835.0279456
l181;"SRID=4326;LINESTRING(7.35311188155085 51.5758105365035,7.33861261905923 51.6319781599433)";0.486974837;827.8572226;1700;1;;-827.8572226;827.8572226
l182;"SRID=4326;LINESTRING(7.35311188155085 51.5758105365035,7.7083185190139 51.6762033258373)";0.419591752;713.3059789;1700;1;;713.3059789;713.3059789
l183;"SRID=4326;LINESTRING(7.61702105012869 51.6371337810622,7.7083185190139 51.6762033258373)";0.030793228;52.34848757;1700;1;;-52.34848757;52.34848757
l184;"SRID=4326;LINESTRING(7.35311188155085 51.5758105365035,7.33861261905923 51.6319781599433)";0.488238192;830.0049264;1700;1;;-830.0049264;830.0049264
l185;"SRID=4326;LINESTRING(7.52228012599778 51.5321980611413,7.7083185190139 51.6762033258373)";0.519422822;254.5171829;490;1;;-254.5171829;254.5171829
l186;"SRID=4326;LINESTRING(6.90660784108641 51.5652424548867,6.92675898550662 51.4992056970517)";0.026140673;44.43914435;1700;1;;44.43914435;44.43914435
l187;"SRID=4326;LINESTRING(7.00674991840299 51.5999114356605,6.92675898550662 51.4992056970517)";0.395469553;193.780081;490;1;;193.780081;193.780081
l188;"SRID=4326;LINESTRING(7.03761992937395 51.5985496345954,6.92675898550662 51.4992056970517)";0.292804357;143.4741349;490;1;;143.4741349;143.4741349
l189;"SRID=4326;LINESTRING(6.92675898550662 51.4992056970517,6.96734395630657 51.490861901735)";0.605684142;296.7852294;490;1;;296.7852294;296.7852294
l190;"SRID=4326;LINESTRING(6.92675898550662 51.4992056970517,6.96734395630657 51.490861901735)";0.606567578;297.2181134;490;1;;297.2181134;297.2181134
l191;"SRID=4326;LINESTRING(6.90660784108641 51.5652424548867,6.68079563463015 51.6462972769253)";0.006696729;11.38443859;1700;1;;11.38443859;11.38443859
l192;"SRID=4326;LINESTRING(6.92675898550662 51.4992056970517,6.87287367577891 51.4457833914382)";0.149442676;73.22691113;490;1;;73.22691113;73.22691113
l193;"SRID=4326;LINESTRING(6.92675898550662 51.4992056970517,6.87287367577891 51.4457833914382)";0.150659856;73.82332941;490;1;;73.82332941;73.82332941
l194;"SRID=4326;LINESTRING(7.00674991840299 51.5999114356605,7.06034476225792 51.6964980793073)";0.130214843;221.3652332;1700;1;;221.3652332;221.3652332
l195;"SRID=4326;LINESTRING(7.03761992937395 51.5985496345954,7.06034476225792 51.6964980793073)";0.280150178;137.2735872;490;1;;-137.2735872;137.2735872
l196;"SRID=4326;LINESTRING(7.00674991840299 51.5999114356605,7.06034476225792 51.6964980793073)";0.137535029;233.8095499;1700;1;;233.8095499;233.8095499
l197;"SRID=4326;LINESTRING(6.86804500654219 51.374474803487,6.72376717933502 51.3556543954881)";0.135917511;66.59958042;490;1;;-66.59958042;66.59958042
l198;"SRID=4326;LINESTRING(6.45655251893853 50.8713380734833,6.48812326066423 50.8810703279012)";0.005942512;10.10227028;1700;1;;-10.10227028;10.10227028
l199;"SRID=4326;LINESTRING(6.68079563463015 51.6462972769253,6.78752992543912 51.5055494229858)";0.141030396;69.10489389;490;1;;-69.10489389;69.10489389
l200;"SRID=4326;LINESTRING(6.70219721289106 51.0088597430362,6.62284324444971 51.2587133994989)";0.170592353;290.0069995;1700;1;;290.0069995;290.0069995
l201;"SRID=4326;LINESTRING(6.45655251893853 50.8713380734833,6.48812326066423 50.8810703279012)";0.005942512;10.10227028;1700;1;;-10.10227028;10.10227028
l202;"SRID=4326;LINESTRING(6.68079563463015 51.6462972769253,6.81216589807283 51.5196200390464)";0.128668992;63.04780591;490;1;;63.04780591;63.04780591
l203;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,11.727353429381 52.5689470103264)";0.101316425;172.2379231;1700;1;;-172.2379231;172.2379231
l204;"SRID=4326;LINESTRING(6.62582903685647 51.2606112581148,6.72031004220211 51.391532581128)";0.18666516;91.46592863;490;1;;-91.46592863;91.46592863
l205;"SRID=4326;LINESTRING(6.62582903685647 51.2606112581148,6.54240843928532 51.2994458346854)";0.824506969;404.008415;490;1;;404.008415;404.008415
l206;"SRID=4326;LINESTRING(6.67467535942029 51.324957491388,6.62582903685647 51.2606112581148)";0.357003927;174.9319242;490;1;;174.9319242;174.9319242
l207;"SRID=4326;LINESTRING(13.078642146735 54.2848461827889,13.6834769799404 54.1390906728297)";0.018721141;9.17335902;490;1;;9.17335902;9.17335902
l208;"SRID=4326;LINESTRING(13.078642146735 54.2848461827889,13.6834769799404 54.1390906728297)";0.018739088;9.182153094;490;1;;9.182153094;9.182153094
l209;"SRID=4326;LINESTRING(8.02029038221744 50.9236169231237,7.86394571439194 50.7682419302039)";0.080412414;39.40208304;490;1;;39.40208304;39.40208304
l210;"SRID=4326;LINESTRING(13.9570055873006 53.2521716356786,13.709669749528 52.5397952998981)";0.307572448;150.7104996;490;1;;-150.7104996;150.7104996
l211;"SRID=4326;LINESTRING(14.2708346906575 53.0962865828729,14.0336963902155 53.507868594058)";0.25714931;126.0031619;490;1;;-126.0031619;126.0031619
l212;"SRID=4326;LINESTRING(14.4762521312891 53.1967495435604,14.2708346906575 53.0962865828729)";0.292276316;143.2153949;490;1;;-143.2153949;143.2153949
l213;"SRID=4326;LINESTRING(13.9570055873006 53.2521716356786,14.0336963902155 53.507868594058)";0.407166487;199.5115785;490;1;;199.5115785;199.5115785
l214;"SRID=4326;LINESTRING(14.2708346906575 53.0962865828729,13.709669749528 52.5397952998981)";0.540250839;264.722911;490;1;;-264.722911;264.722911
l215;"SRID=4326;LINESTRING(9.90884756824768 53.4880466468098,9.50178971212981 53.5428143880013)";0.396827902;674.6074329;1700;1;;-674.6074329;674.6074329
l216;"SRID=4326;LINESTRING(9.90884756824768 53.4880466468098,10.1575057595216 53.5551266364644)";0.134533562;228.7070557;1700;1;;-228.7070557;228.7070557
l217;"SRID=4326;LINESTRING(9.90884756824768 53.4880466468098,10.1575057595216 53.5551266364644)";0.134746913;229.069752;1700;1;;-229.069752;229.069752
l218;"SRID=4326;LINESTRING(9.90884756824768 53.4880466468098,9.50178971212981 53.5428143880013)";0.397118618;675.1016508;1700;1;;-675.1016508;675.1016508
l219;"SRID=4326;LINESTRING(6.67467535942029 51.324957491388,6.72376717933502 51.3556543954881)";0.35901391;175.9168158;490;1;;-175.9168158;175.9168158
l220;"SRID=4326;LINESTRING(6.61738115554636 51.4757909650564,6.72376717933502 51.3556543954881)";0.037939891;18.59054659;490;1;;-18.59054659;18.59054659
l221;"SRID=4326;LINESTRING(6.61738115554636 51.4757909650564,6.71114528740106 51.5261875789907)";0.196929035;334.7793596;1700;1;;-334.7793596;334.7793596
l222;"SRID=4326;LINESTRING(6.61738115554636 51.4757909650564,6.68934282070814 51.5764229278963)";0.11226329;190.8475935;1700;1;;-190.8475935;190.8475935
l223;"SRID=4326;LINESTRING(6.22183149094702 51.6946456455863,6.68079563463015 51.6462972769253)";0.102174044;50.06528162;490;1;;-50.06528162;50.06528162
l224;"SRID=4326;LINESTRING(6.92675898550662 51.4992056970517,6.78752992543912 51.5055494229858)";0.265724981;130.2052405;490;1;;-130.2052405;130.2052405
l225;"SRID=4326;LINESTRING(6.92675898550662 51.4992056970517,6.78752992543912 51.5055494229858)";0.266033276;130.3563052;490;1;;-130.3563052;130.3563052
l226;"SRID=4326;LINESTRING(6.72376717933502 51.3556543954881,6.72031004220211 51.391532581128)";0.284691765;139.498965;490;1;;139.498965;139.498965
l227;"SRID=4326;LINESTRING(6.65673523718494 51.3795236591475,6.72376717933502 51.3556543954881)";0.07327318;35.90385799;490;1;;-35.90385799;35.90385799
l228;"SRID=4326;LINESTRING(6.72376717933502 51.3556543954881,6.72365238886558 51.3758458427716)";0.147310909;72.18234521;490;1;;72.18234521;72.18234521
l229;"SRID=4326;LINESTRING(8.61664770595698 48.0659538545522,8.87294280093827 48.310091303568)";0.079331857;134.8641565;1700;1;;134.8641565;134.8641565
l230;"SRID=4326;LINESTRING(6.71525262621456 51.5267908744287,6.78752992543912 51.5055494229858)";0.356744281;174.8046977;490;1;;174.8046977;174.8046977
l231;"SRID=4326;LINESTRING(6.71525262621456 51.5267908744287,6.78752992543912 51.5055494229858)";0.370082559;181.3404541;490;1;;181.3404541;181.3404541
l232;"SRID=4326;LINESTRING(12.1869848529515 53.8157751978716,12.185765240779 53.8108598322992)";0.054143432;26.53028169;490;1;;26.53028169;26.53028169
l233;"SRID=4326;LINESTRING(12.1869848529515 53.8157751978716,12.185765240779 53.8108598322992)";0.053853274;26.3881044;490;1;;26.3881044;26.3881044
l234;"SRID=4326;LINESTRING(6.68079563463015 51.6462972769253,6.71114528740106 51.5261875789907)";0.053648017;91.20162868;1700;1;;91.20162868;91.20162868
l235;"SRID=4326;LINESTRING(6.68079563463015 51.6462972769253,6.68934282070814 51.5764229278963)";0.091479804;155.515667;1700;1;;155.515667;155.515667
l236;"SRID=4326;LINESTRING(6.71525262621456 51.5267908744287,6.7225698255489 51.4797877133457)";1;490;490;1;;-490;490
l237;"SRID=4326;LINESTRING(6.68934282070814 51.5764229278963,6.68146365257697 51.5776527635093)";0.011955837;20.32492256;1700;1;;-20.32492256;20.32492256
l238;"SRID=4326;LINESTRING(6.68934282070814 51.5764229278963,6.68146365257697 51.5776527635093)";0.013888093;23.60975853;1700;1;;-23.60975853;23.60975853
l239;"SRID=4326;LINESTRING(6.71525262621456 51.5267908744287,6.68310699520914 51.5756455198898)";0.090730385;44.45788866;490;1;;44.45788866;44.45788866
l240;"SRID=4326;LINESTRING(6.71525262621456 51.5267908744287,6.74541685133193 51.4986419229617)";0.062086375;30.42232392;490;1;;30.42232392;30.42232392
l241;"SRID=4326;LINESTRING(6.61427858001903 51.6186788195162,6.68310699520914 51.5756455198898)";0.02864401;14.03556474;490;1;;-14.03556474;14.03556474
l242;"SRID=4326;LINESTRING(6.61427858001903 51.6186788195162,6.71525262621456 51.5267908744287)";0.058270043;28.55232094;490;1;;-28.55232094;28.55232094
l243;"SRID=4326;LINESTRING(7.44506932534523 51.6185001200754,7.7083185190139 51.6762033258373)";0.765567986;375.128313;490;1;;375.128313;375.128313
l244;"SRID=4326;LINESTRING(6.80461624403732 50.9662477744576,6.70219721289106 51.0088597430362)";0.172349772;84.4513885;490;1;;-84.4513885;84.4513885
l245;"SRID=4326;LINESTRING(6.73212494203963 51.4594437546532,6.7225698255489 51.4797877133457)";0.02295315;11.24704344;490;1;;-11.24704344;11.24704344
l246;"SRID=4326;LINESTRING(6.73212494203963 51.4594437546532,6.7225698255489 51.4797877133457)";0.02295315;11.24704344;490;1;;-11.24704344;11.24704344
l247;"SRID=4326;LINESTRING(9.12526574244048 52.5382641233458,9.25103429423424 53.1144323213021)";0.272317427;462.9396252;1700;1;;462.9396252;462.9396252
l248;"SRID=4326;LINESTRING(9.12526574244048 52.5382641233458,9.25103429423424 53.1144323213021)";0.272001553;462.40264;1700;1;;462.40264;462.40264
l249;"SRID=4326;LINESTRING(7.32089264924598 52.4714572257118,7.30824781629083 52.4767901583642)";0.227549318;386.8338402;1700;1;;386.8338402;386.8338402
l250;"SRID=4326;LINESTRING(7.03496796550368 52.2028607768236,6.75917489922906 52.2488579210093)";0.20148347;342.5218985;1700;1;;342.5218985;342.5218985
l251;"SRID=4326;LINESTRING(7.03496796550368 52.2028607768236,6.75917489922906 52.2488579210093)";0.201538507;342.6154624;1700;1;;342.6154624;342.6154624
l252;"SRID=4326;LINESTRING(7.50597986222128 51.4016012425797,7.70635767084239 51.2785803248342)";0.238895014;117.0585568;490;1;;117.0585568;117.0585568
l253;"SRID=4326;LINESTRING(7.50597986222128 51.4016012425797,7.70635767084239 51.2785803248342)";0.238862937;117.0428393;490;1;;117.0428393;117.0428393
l254;"SRID=4326;LINESTRING(7.50597986222128 51.4016012425797,7.4503420737133 51.4136082478987)";0.406557721;199.2132831;490;1;;199.2132831;199.2132831
l255;"SRID=4326;LINESTRING(6.70219721289106 51.0088597430362,6.63448170507317 51.0359799570641)";5.72227E-05;0.097278514;1700;1;;0.097278514;0.097278514
l256;"SRID=4326;LINESTRING(6.70219721289106 51.0088597430362,6.63448170507317 51.0359799570641)";5.76962E-05;0.098083557;1700;1;;0.098083557;0.098083557
l257;"SRID=4326;LINESTRING(7.7083185190139 51.6762033258373,7.60711615834737 51.8986046345034)";0.968392657;474.5124019;490;1;;474.5124019;474.5124019
l258;"SRID=4326;LINESTRING(7.7083185190139 51.6762033258373,7.40354445433039 51.6444495221964)";0.687609361;1168.935914;1700;1;;-1168.935914;1168.935914
l259;"SRID=4326;LINESTRING(9.12526574244048 52.5382641233458,9.11321011483187 52.5438533448625)";0.155453673;528.5424891;3400;2;;528.5424891;528.5424891
l260;"SRID=4326;LINESTRING(9.12526574244048 52.5382641233458,9.11321011483187 52.5438533448625)";0.04455589;75.74501313;1700;1;;75.74501313;75.74501313
l261;"SRID=4326;LINESTRING(9.12526574244048 52.5382641233458,9.11321011483187 52.5438533448625)";0.05457233;92.77296182;1700;1;;92.77296182;92.77296182
l262;"SRID=4326;LINESTRING(6.45655251893853 50.8713380734833,6.59601984709512 50.9525274662191)";0.440346564;748.5891582;1700;1;;-748.5891582;748.5891582
l263;"SRID=4326;LINESTRING(9.40952036752961 52.0343166956609,9.38974515063535 52.0263130791669)";0.021459359;36.48091101;1700;1;;36.48091101;36.48091101
l264;"SRID=4326;LINESTRING(6.99647662277982 49.3754093214106,7.23579348811378 49.3693923811997)";0.851852505;1,448;1700;1;;1448.149259;1448.149259
l265;"SRID=4326;LINESTRING(6.99647662277982 49.3754093214106,8.41937108566179 49.6337357665925)";0.435003243;739.5055128;1700;1;;739.5055128;739.5055128
l266;"SRID=4326;LINESTRING(6.81368434620717 49.7248341051075,6.99647662277982 49.3754093214106)";0.653150312;1,110;1700;1;;1110.35553;1110.35553
l267;"SRID=4326;LINESTRING(8.58869053015616 49.8155140535631,8.54716101729403 49.4405397603694)";0.323022406;158.2809791;490;1;;-158.2809791;158.2809791
l268;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,8.40828876612783 49.5286235333031)";0.491231873;240.7036176;490;1;;240.7036176;240.7036176
l269;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,7.44948701423191 50.4025259728409)";0.770941376;1,311;1700;1;;-1310.60034;1310.60034
l270;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,7.44948701423191 50.4025259728409)";0.770816823;1,310;1700;1;;-1310.388599;1310.388599
l271;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,8.40828876612783 49.5286235333031)";0.491304065;240.7389917;490;1;;240.7389917;240.7389917
l272;"SRID=4326;LINESTRING(9.19078746567264 48.9144168850357,8.41937108566179 49.6337357665925)";0.651981244;1,108;1700;1;;-1108.368115;1108.368115
l273;"SRID=4326;LINESTRING(9.19078746567264 48.9144168850357,8.41937108566179 49.6337357665925)";0.652028119;1,108;1700;1;;-1108.447803;1108.447803
l274;"SRID=4326;LINESTRING(8.58869053015616 49.8155140535631,8.54716101729403 49.4405397603694)";0.323022406;158.2809791;490;1;;-158.2809791;158.2809791
l275;"SRID=4326;LINESTRING(12.1320700033184 54.1424599150795,12.2147735094259 54.1003234808405)";0.077135398;131.1301761;1700;1;;-131.1301761;131.1301761
l276;"SRID=4326;LINESTRING(12.1869848529515 53.8157751978716,12.2135605906601 54.1119998916809)";0.456059372;223.4690922;490;1;;-223.4690922;223.4690922
l277;"SRID=4326;LINESTRING(13.078642146735 54.2848461827889,12.1869848529515 53.8157751978716)";0.294312747;144.213246;490;1;;144.213246;144.213246
l278;"SRID=4326;LINESTRING(8.57125886720865 52.1053649703152,8.9396926172441 52.4030332405173)";0.432740237;735.6584024;1700;1;;735.6584024;735.6584024
l279;"SRID=4326;LINESTRING(8.57125886720865 52.1053649703152,8.6593729546501 51.9996101360209)";0.579372444;984.9331556;1700;1;;-984.9331556;984.9331556
l280;"SRID=4326;LINESTRING(8.57125886720865 52.1053649703152,8.6593729546501 51.9996101360209)";0.579603362;985.3257156;1700;1;;-985.3257156;985.3257156
l281;"SRID=4326;LINESTRING(8.57125886720865 52.1053649703152,8.9396926172441 52.4030332405173)";0.432654675;735.5129483;1700;1;;735.5129483;735.5129483
l282;"SRID=4326;LINESTRING(8.30775696202904 52.3456357754793,7.88957673752775 52.2773967844269)";0.054910013;93.34702164;1700;1;;-93.34702164;93.34702164
l283;"SRID=4326;LINESTRING(8.05408740677995 53.332302708936,7.31136230953603 53.1257665914164)";0.312716708;531.6184039;1700;1;;-531.6184039;531.6184039
l284;"SRID=4326;LINESTRING(8.05408740677995 53.332302708936,7.31136230953603 53.1257665914164)";0.312760282;531.692479;1700;1;;-531.692479;531.692479
l285;"SRID=4326;LINESTRING(8.122642304058 53.5605160665145,8.05283756803222 53.3338809660191)";0.128746924;63.08599258;490;1;;63.08599258;63.08599258
l286;"SRID=4326;LINESTRING(6.94948404574031 53.1235378491255,7.31136230953603 53.1257665914164)";0.173491189;589.8700427;3400;2;;589.8700427;589.8700427
l287;"SRID=4326;LINESTRING(8.122642304058 53.5605160665145,8.05283756803222 53.3338809660191)";0.128727524;63.07648652;490;1;;63.07648652;63.07648652
l288;"SRID=4326;LINESTRING(7.23579348811378 49.3693923811997,8.31334018942867 49.0090434774209)";0.61419364;1044.129187;1700;1;;1044.129187;1044.129187
l289;"SRID=4326;LINESTRING(8.40828876612783 49.5286235333031,8.27327814627525 49.0293981037883)";0.266915724;130.788705;490;1;;130.788705;130.788705
l290;"SRID=4326;LINESTRING(8.35233395252327 49.4212743450173,8.40828876612783 49.5286235333031)";0.733940086;359.630642;490;1;;-359.630642;359.630642
l291;"SRID=4326;LINESTRING(7.72920204621049 49.4826474377754,8.35233395252327 49.4212743450173)";0.186953762;91.60734333;490;1;;-91.60734333;91.60734333
l292;"SRID=4326;LINESTRING(8.35233395252327 49.4212743450173,8.27327814627525 49.0293981037883)";0.032223175;15.78935589;490;1;;-15.78935589;15.78935589
l293;"SRID=4326;LINESTRING(9.79733614300556 52.0008392548375,9.91814868737007 52.3799963378317)";0.221008465;108.2941477;490;1;;-108.2941477;108.2941477
l294;"SRID=4326;LINESTRING(9.9171797569037 52.2781686248742,9.38974515063535 52.0263130791669)";0.171384194;291.3531291;1700;1;;-291.3531291;291.3531291
l295;"SRID=4326;LINESTRING(9.19078746567264 48.9144168850357,10.0821573814608 48.2660901922742)";0.450083658;765.1422187;1700;1;;765.1422187;765.1422187
l296;"SRID=4326;LINESTRING(8.62716128185002 49.5435952784092,8.50180857459037 49.4449115329164)";0.151146323;74.06169848;490;1;;-74.06169848;74.06169848
l297;"SRID=4326;LINESTRING(10.0821573814608 48.2660901922742,10.3917760727113 48.51846091102)";0.026176052;44.49928881;1700;1;;44.49928881;44.49928881
l298;"SRID=4326;LINESTRING(7.95807590404246 47.595477987414,7.75349549403634 48.0993557332288)";0.475388863;1,616;3400;2;;-1616.322136;1616.322136
l299;"SRID=4326;LINESTRING(10.0837513310281 48.268867503254,9.88551515679306 48.3040743800139)";0.276826655;135.6450611;490;1;;-135.6450611;135.6450611
l300;"SRID=4326;LINESTRING(9.01340237137239 47.84534861265,8.25192553682682 47.6397698245713)";0.13486095;66.0818656;490;1;;-66.0818656;66.0818656
l301;"SRID=4326;LINESTRING(9.19675654948238 48.9129634543149,8.54716101729403 49.4405397603694)";0.668658439;327.642635;490;1;;-327.642635;327.642635
l302;"SRID=4326;LINESTRING(10.0821573814608 48.2660901922742,10.3917760727113 48.51846091102)";0.026142582;44.44238928;1700;1;;44.44238928;44.44238928
l303;"SRID=4326;LINESTRING(9.88551515679306 48.3040743800139,10.0821573814608 48.2660901922742)";0.282001038;479.4017642;1700;1;;479.4017642;479.4017642
l304;"SRID=4326;LINESTRING(6.6205356426611 49.7489386754597,6.13982051606053 49.6685969450672)";0.461452057;226.1115078;490;1;;226.1115078;226.1115078
l305;"SRID=4326;LINESTRING(6.81368434620717 49.7248341051075,6.4747398132316 49.9224693104147)";0.645994113;1,098;1700;1;;-1098.189993;1098.189993
l306;"SRID=4326;LINESTRING(6.4747398132316 49.9224693104147,6.70228544511704 49.8289944400988)";0.608996711;298.4083885;490;1;;298.4083885;298.4083885
l307;"SRID=4326;LINESTRING(6.6205356426611 49.7489386754597,6.4747398132316 49.9224693104147)";0.402056965;197.0079128;490;1;;197.0079128;197.0079128
l308;"SRID=4326;LINESTRING(8.58869053015616 49.8155140535631,8.53151491196588 50.0478743425063)";0.205063731;100.4812282;490;1;;-100.4812282;100.4812282
l309;"SRID=4326;LINESTRING(8.47137164222049 50.0972077629353,8.06573800300669 50.4060681719154)";0.511345843;869.2879336;1700;1;;-869.2879336;869.2879336
l310;"SRID=4326;LINESTRING(8.38855643052221 49.9823050863709,8.47137164222049 50.0972077629353)";0.248031315;421.6532348;1700;1;;-421.6532348;421.6532348
l311;"SRID=4326;LINESTRING(8.38855643052221 49.9823050863709,8.47137164222049 50.0972077629353)";0.180044822;306.0761976;1700;1;;-306.0761976;306.0761976
l312;"SRID=4326;LINESTRING(8.53721905903123 50.078085052734,8.54248104018428 50.0959883311322)";0.031346857;15.3599601;490;1;;-15.3599601;15.3599601
l313;"SRID=4326;LINESTRING(8.53721905903123 50.078085052734,8.54248104018428 50.0959883311322)";0.031346857;15.3599601;490;1;;-15.3599601;15.3599601
l314;"SRID=4326;LINESTRING(8.77244299222179 49.9746686767501,8.58869053015616 49.8155140535631)";0.167845096;82.2440969;490;1;;-82.2440969;82.2440969
l315;"SRID=4326;LINESTRING(8.77244299222179 49.9746686767501,8.58869053015616 49.8155140535631)";0.167845096;82.2440969;490;1;;-82.2440969;82.2440969
l316;"SRID=4326;LINESTRING(8.77244299222179 49.9746686767501,8.98953621454728 50.0602551000841)";0.14262129;242.4561927;1700;1;;242.4561927;242.4561927
l317;"SRID=4326;LINESTRING(8.98953621454728 50.0602551000841,8.95870858956225 50.0826078209328)";0.034727075;59.03602743;1700;1;;59.03602743;59.03602743
l318;"SRID=4326;LINESTRING(8.77244299222179 49.9746686767501,8.95870858956225 50.0826078209328)";0.131980516;224.366878;1700;1;;224.366878;224.366878
l319;"SRID=4326;LINESTRING(10.0837513310281 48.268867503254,10.3633843211809 47.7383368357565)";0.303512701;148.7212236;490;1;;148.7212236;148.7212236
l320;"SRID=4326;LINESTRING(10.3633843211809 47.7383368357565,10.0821573814608 48.2660901922742)";0.334099481;567.9691178;1700;1;;-567.9691178;567.9691178
l321;"SRID=4326;LINESTRING(7.46150030545086 51.6146143296713,7.40354445433039 51.6444495221964)";0.830723591;1412.230104;1700;1;;1412.230104;1412.230104
l322;"SRID=4326;LINESTRING(7.35311188155085 51.5758105365035,7.40354445433039 51.6444495221964)";0.188476365;320.4098197;1700;1;;-320.4098197;320.4098197
l323;"SRID=4326;LINESTRING(7.52228012599778 51.5321980611413,7.7083185190139 51.6762033258373)";0.519196027;254.4060533;490;1;;-254.4060533;254.4060533
l324;"SRID=4326;LINESTRING(7.7083185190139 51.6762033258373,7.71823231806437 51.6743422310609)";0.005520892;9.385516668;1700;1;;9.385516668;9.385516668
l325;"SRID=4326;LINESTRING(7.7083185190139 51.6762033258373,7.71554347208106 51.6736430903867)";0.515893818;252.7879709;490;1;;-252.7879709;252.7879709
l326;"SRID=4326;LINESTRING(7.7083185190139 51.6762033258373,7.71459457000395 51.6730996766998)";0.253795851;124.3599669;490;1;;-124.3599669;124.3599669
l327;"SRID=4326;LINESTRING(7.7083185190139 51.6762033258373,7.71270099798652 51.6726636796219)";0.063024614;30.8820607;490;1;;30.8820607;30.8820607
l328;"SRID=4326;LINESTRING(7.99288732000281 51.6837077158762,7.98122158717143 51.6735262789774)";0.272859409;463.8609957;1700;1;;-463.8609957;463.8609957
l329;"SRID=4326;LINESTRING(7.99288732000281 51.6837077158762,7.97065695307765 51.6768446919669)";0.019392595;32.96741153;1700;1;;-32.96741153;32.96741153
l330;"SRID=4326;LINESTRING(7.99288732000281 51.6837077158762,7.97065695307765 51.6768446919669)";0.019428441;33.02834945;1700;1;;-33.02834945;33.02834945
l331;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,7.79256713751168 49.8105487905969)";0.445718548;218.4020884;490;1;;218.4020884;218.4020884
l332;"SRID=4326;LINESTRING(6.92013046576366 49.9705819072583,7.44948701423191 50.4025259728409)";0.342178869;167.6676458;490;1;;-167.6676458;167.6676458
l333;"SRID=4326;LINESTRING(6.70228544511704 49.8289944400988,6.13982051606053 49.6685969450672)";0.137477534;67.36399186;490;1;;-67.36399186;67.36399186
l334;"SRID=4326;LINESTRING(6.75552343093251 49.3648696290977,6.6205356426611 49.7489386754597)";1;490;490;1;;490;490
l335;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,8.40828876612783 49.5286235333031)";0.507719418;248.7825149;490;1;;248.7825149;248.7825149
l336;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,8.40828876612783 49.5286235333031)";0.507989441;248.9148259;490;1;;248.9148259;248.9148259
l337;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,8.41467466404663 49.7091468542437)";0.051647951;87.80151707;1700;1;;87.80151707;87.80151707
l338;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,8.41467466404663 49.7091468542437)";0.051709954;87.90692105;1700;1;;87.90692105;87.90692105
l339;"SRID=4326;LINESTRING(8.41937108566179 49.6337357665925,7.72920204621049 49.4826474377754)";0.489644146;239.9256315;490;1;;239.9256315;239.9256315
l340;"SRID=4326;LINESTRING(9.88280432069129 51.5155075368656,9.85139361305404 51.6491352561387)";0.055450647;27.17081715;490;1;;27.17081715;27.17081715
l341;"SRID=4326;LINESTRING(8.78579308261945 48.5837674313704,8.87294280093827 48.310091303568)";0.078895175;134.1217982;1700;1;;134.1217982;134.1217982
l342;"SRID=4326;LINESTRING(8.78579308261945 48.5837674313704,9.04543499281662 48.9029620391364)";0.210353876;357.60159;1700;1;;-357.60159;357.60159
l343;"SRID=4326;LINESTRING(9.80131720045512 47.6525043492184,9.81091693259485 47.1426453017769)";0.06792633;230.9495223;3400;2;;230.9495223;230.9495223
l344;"SRID=4326;LINESTRING(9.42551240461559 48.06435084547,9.81091693259485 47.1426453017769)";0.201245331;98.61021212;490;1;;98.61021212;98.61021212
l345;"SRID=4326;LINESTRING(8.30775696202904 52.3456357754793,8.10495964382999 52.2642614054462)";0.123549697;60.53935175;490;1;;60.53935175;60.53935175
l346;"SRID=4326;LINESTRING(11.8132329291411 48.2212664672329,12.1301906386214 47.9131654927098)";0.303176576;297.1130444;980;2;;-297.1130444;297.1130444
l347;"SRID=4326;LINESTRING(6.77252314401924 51.1471055233119,6.80182365898612 51.124788107918)";0.067227305;32.94137969;490;1;;-32.94137969;32.94137969
