l_id;wkt_srid_4326;;;;;;;;;;;
;;;;;;;;;;;l852;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.2939727766244 48.0520427780619)"
;;;;;;;;;;;l853;"SRID=4326;LINESTRING(9.98460987842098 53.7411288196703,10.1575057595216 53.5551266364644)"
;;;;;;;;;;;l854;"SRID=4326;LINESTRING(9.98460987842098 53.7411288196703,9.20210266340539 53.8951623622383)"
;;;;;;;;;;;l855;"SRID=4326;LINESTRING(9.98460987842098 53.7411288196703,9.98853665499904 53.7662776782512)"
;;;;;;;;;;;l856;"SRID=4326;LINESTRING(9.98853665499904 53.7662776782512,9.72699275106814 54.2914209859116)"
;;;;;;;;;;;l857;"SRID=4326;LINESTRING(9.34476101692227 53.9218370813918,9.34400181356048 53.8517774981988)"
;;;;;;;;;;;l858;"SRID=4326;LINESTRING(9.34476101692227 53.9218370813918,9.20210266340539 53.8951623622383)"
;;;;;;;;;;;l859;"SRID=4326;LINESTRING(9.98853665499904 53.7662776782512,9.52960514781347 53.618990731832)"
;;;;;;;;;;;l860;"SRID=4326;LINESTRING(9.77654483603303 53.6906352940911,9.98853665499904 53.7662776782512)"
;;;;;;;;;;;l861;"SRID=4326;LINESTRING(10.4149924241538 53.4126068813272,10.1575057595216 53.5551266364644)"
;;;;;;;;;;;l862;"SRID=4326;LINESTRING(10.3787706356666 53.2197927695925,10.3822011082464 52.9932426669735)"
;;;;;;;;;;;l863;"SRID=4326;LINESTRING(9.74615085631454 50.9168400022101,11.1228546271538 50.9989090757631)"
;;;;;;;;;;;l864;"SRID=4326;LINESTRING(11.1228546271538 50.9989090757631,10.3859411718194 51.0018133141165)"
;;;;;;;;;;;l865;"SRID=4326;LINESTRING(8.122642304058 53.5605160665145,8.08565060815886 53.6058342194744)"
;;;;;;;;;;;l866;"SRID=4326;LINESTRING(8.08565060815886 53.6058342194744,8.06005701182283 53.6202026205826)"
;;;;;;;;;;;l867;"SRID=4326;LINESTRING(9.11321011483187 52.5438533448625,9.91814868737007 52.3799963378317)"
;;;;;;;;;;;l868;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,12.9416466491702 52.5621144028949)"
;;;;;;;;;;;l869;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.2115276810432 52.5806278358522)"
;;;;;;;;;;;l870;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,13.2115276810432 52.5806278358522)"
;;;;;;;;;;;l871;"SRID=4326;LINESTRING(11.727353429381 52.5689470103264,13.1433929675199 53.9081470154338)"
;;;;;;;;;;;l872;"SRID=4326;LINESTRING(11.727353429381 52.5689470103264,11.8531051573669 53.0865440610132)"
;;;;;;;;;;;l873;"SRID=4326;LINESTRING(13.6834769799404 54.1390906728297,12.1869848529515 53.8157751978716)"
;;;;;;;;;;;l874;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,12.4993660253653 52.4052284426773)"
;;;;;;;;;;;l875;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,12.4993660253653 52.4052284426773)"
;;;;;;;;;;;l876;"SRID=4326;LINESTRING(13.5061280249068 52.4738227039188,13.3057533352426 52.2307818607751)"
;;;;;;;;;;;l877;"SRID=4326;LINESTRING(13.5061280249068 52.4738227039188,13.5241987812625 52.5356343208068)"
;;;;;;;;;;;l878;"SRID=4326;LINESTRING(13.5241987812625 52.5356343208068,13.709669749528 52.5397952998981)"
;;;;;;;;;;;l879;"SRID=4326;LINESTRING(13.5241987812625 52.5356343208068,13.709669749528 52.5397952998981)"
;;;;;;;;;;;l880;"SRID=4326;LINESTRING(13.4564307414427 52.521451771614,13.5370284535837 52.5374809881862)"
;;;;;;;;;;;l881;"SRID=4326;LINESTRING(9.74615085631454 50.9168400022101,10.3859411718194 51.0018133141165)"
;;;;;;;;;;;l882;"SRID=4326;LINESTRING(9.74615085631454 50.9168400022101,9.25938384941478 51.0603668957955)"
;;;;;;;;;;;l883;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,7.75349549403634 48.0993557332288)"
;;;;;;;;;;;l884;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,8.4384675602346 49.2524597535318)"
;;;;;;;;;;;l885;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,8.51211173756804 49.2939665911691)"
;;;;;;;;;;;l886;"SRID=4326;LINESTRING(8.31334018942867 49.0090434774209,8.62320969485988 49.356582256425)"
;;;;;;;;;;;l887;"SRID=4326;LINESTRING(8.44554253599103 48.9860882032815,8.31334018942867 49.0090434774209)"
;;;;;;;;;;;l888;"SRID=4326;LINESTRING(8.44554253599103 48.9860882032815,8.64158407529801 48.8900525292561)"
;;;;;;;;;;;l889;"SRID=4326;LINESTRING(8.64158407529801 48.8900525292561,8.31334018942867 49.0090434774209)"
;;;;;;;;;;;l890;"SRID=4326;LINESTRING(8.56374402466983 53.0317216060084,8.47470705828713 53.4286512121137)"
;;;;;;;;;;;l891;"SRID=4326;LINESTRING(8.51888183670623 53.2026352879915,8.82002488536158 53.1073883123751)"
;;;;;;;;;;;l892;"SRID=4326;LINESTRING(9.50178971212981 53.5428143880013,8.51888183670623 53.2026352879915)"
;;;;;;;;;;;l893;"SRID=4326;LINESTRING(8.12061826655718 48.7053527235337,8.31334018942867 49.0090434774209)"
;;;;;;;;;;;l894;"SRID=4326;LINESTRING(11.3704263094168 48.2914922548393,11.4407746571386 48.1718035686213)"
;;;;;;;;;;;l895;"SRID=4326;LINESTRING(13.3264050703954 50.3463722141376,12.1147699347953 49.6311522364994)"
;;;;;;;;;;;l896;"SRID=4326;LINESTRING(8.56374402466983 53.0317216060084,8.69516076534637 53.0925361336519)"
;;;;;;;;;;;l897;"SRID=4326;LINESTRING(8.51888183670623 53.2026352879915,8.69516076534637 53.0925361336519)"
;;;;;;;;;;;l898;"SRID=4326;LINESTRING(8.77244299222179 49.9746686767501,8.41937108566179 49.6337357665925)"
;;;;;;;;;;;l899;"SRID=4326;LINESTRING(8.38855643052221 49.9823050863709,8.41937108566179 49.6337357665925)"
;;;;;;;;;;;l900;"SRID=4326;LINESTRING(12.262173544509 51.7410202813412,11.8942662085419 51.4057031779769)"
;;;;;;;;;;;l901;"SRID=4326;LINESTRING(13.1570905224719 51.8284516784236,13.9024347133056 51.874723530085)"
;;;;;;;;;;;l902;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,11.5165549994374 51.5843592162484)"
;;;;;;;;;;;l903;"SRID=4326;LINESTRING(11.8942662085419 51.4057031779769,11.5165549994374 51.5843592162484)"
;;;;;;;;;;;l904;"SRID=4326;LINESTRING(11.6389126099956 52.2687358982154,11.8942662085419 51.4057031779769)"
;;;;;;;;;;;l905;"SRID=4326;LINESTRING(8.70221847039735 51.7363525890089,8.99279243937742 51.3430094105575)"
;;;;;;;;;;;l906;"SRID=4326;LINESTRING(8.70221847039735 51.7363525890089,8.99279243937742 51.3430094105575)"
;;;;;;;;;;;l907;"SRID=4326;LINESTRING(13.1570905224719 51.8284516784236,11.8942662085419 51.4057031779769)"
;;;;;;;;;;;l908;"SRID=4326;LINESTRING(13.6834769799404 54.1390906728297,13.1433929675199 53.9081470154338)"
;;;;;;;;;;;l909;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.3057533352426 52.2307818607751)"
;;;;;;;;;;;l910;"SRID=4326;LINESTRING(12.9416466491702 52.5621144028949,13.9024347133056 51.874723530085)"
;;;;;;;;;;;l911;"SRID=4326;LINESTRING(13.3057533352426 52.2307818607751,13.9024347133056 51.874723530085)"
;;;;;;;;;;;l912;"SRID=4326;LINESTRING(11.6463786860412 50.5348769896165,11.1228546271538 50.9989090757631)"
;;;;;;;;;;;l913;"SRID=4326;LINESTRING(14.4719654746961 51.5538127702297,14.5081092115389 51.4137104048148)"
;;;;;;;;;;;l914;"SRID=4326;LINESTRING(14.4719654746961 51.5538127702297,14.5081092115389 51.4137104048148)"
;;;;;;;;;;;l915;"SRID=4326;LINESTRING(14.4281805295455 51.888864175856,14.4719654746961 51.5538127702297)"
;;;;;;;;;;;l916;"SRID=4326;LINESTRING(14.4281805295455 51.888864175856,14.4719654746961 51.5538127702297)"
