v_id;wkt_srid_4326;Curtailment;;;;;;
n138;"SRID=4326;POINT(7.00674987859998 51.5999114220203)";0;;;;;n348;0.415926329
n139;"SRID=4326;POINT(7.03761988504233 51.5985496311832)";0;;;;;n365;0.162239451
n140;"SRID=4326;POINT(7.2640834625924 51.5735734103802)";0;;;;;n398;4.412221585
n141;"SRID=4326;POINT(7.2789471130269 51.4722816773138)";0;;;;;n401;0.254717132
n142;"SRID=4326;POINT(7.18667755311932 51.550589070577)";0;;;;;n402;1.58412058
n143;"SRID=4326;POINT(7.35135784054859 51.568368608134)";0;;;;;n408;6.170335113
n144;"SRID=4326;POINT(7.17937912538938 51.4722019484347)";0;;;;;n411;0.504809503
n145;"SRID=4326;POINT(6.93488869659333 51.0335223350589)";0;;;;;n419;0.1244556
n146;"SRID=4326;POINT(6.82813596908193 51.1626762413706)";0;;;;;n435;0.090998359
n147;"SRID=4326;POINT(7.50597329671546 51.401592550355)";0;;;;;n440;0.912968694
n148;"SRID=4326;POINT(6.84699931064759 51.2055917698058)";0;;;;;n446;2.308222194
n149;"SRID=4326;POINT(7.19316578267403 50.798335064694)";0;;;;;n447;3.507929751
n150;"SRID=4326;POINT(7.0473845241055 50.9055286094924)";0;;;;;n464;0.015453069
n151;"SRID=4326;POINT(6.70967369516713 51.0909407427733)";0;;;;;n471;0.004774405
n152;"SRID=4326;POINT(7.01293742640329 50.6176584938251)";0;;;;;n495;3.817045354
n153;"SRID=4326;POINT(6.33006858948983 51.2429161503794)";0.156797761;;;;;;
n154;"SRID=4326;POINT(7.0235444991641 50.999068409611)";0;;;;;;
n155;"SRID=4326;POINT(7.72438401522458 51.4093341305984)";0;;;;;;
n156;"SRID=4326;POINT(6.84223115147656 50.8598647243573)";0;;;;;;
n157;"SRID=4326;POINT(8.364229530696 51.9271204904611)";0;;;;;;
n158;"SRID=4326;POINT(6.48812326381716 50.8810703125704)";0;;;;;;
n159;"SRID=4326;POINT(8.05408735442182 53.3323026933898)";86.37789375;;;;;;
n160;"SRID=4326;POINT(8.47791063608626 53.428485468955)";365.2052443;;;;;;
n161;"SRID=4326;POINT(8.05283751634017 53.3338809598955)";261.7165089;;;;;;
n162;"SRID=4326;POINT(6.85153113794826 50.9841704680083)";0;;;;;;
n163;"SRID=4326;POINT(6.59601979462215 50.9525274624278)";0;;;;;;
n164;"SRID=4326;POINT(7.33861258614081 51.6319781250427)";0;;;;;;
n165;"SRID=4326;POINT(7.70831848872651 51.6762033088437)";0;;;;;;
n166;"SRID=4326;POINT(7.61702099509812 51.6371337640588)";0;;;;;;
n167;"SRID=4326;POINT(7.52228010104186 51.5321980552231)";0;;;;;;
n168;"SRID=4326;POINT(6.90660779028721 51.5652424465435)";0;;;;;;
n169;"SRID=4326;POINT(6.96734393053748 51.4908618864265)";0;;;;;;
n170;"SRID=4326;POINT(6.87287359352087 51.4457833372124)";0;;;;;;
n171;"SRID=4326;POINT(6.86804496307922 51.3744747805902)";0;;;;;;
n172;"SRID=4326;POINT(6.78752251671348 51.505550100013)";0;;;;;;
n173;"SRID=4326;POINT(6.62284323546559 51.258713368098)";0;;;;;;
n174;"SRID=4326;POINT(6.81216588075166 51.5196200118095)";0;;;;;;
n175;"SRID=4326;POINT(6.72031000055597 51.3915325380171)";0;;;;;;
n176;"SRID=4326;POINT(6.54240844257145 51.2994458149911)";0;;;;;;
n177;"SRID=4326;POINT(13.0786421047586 54.2848461697305)";94.88016096;;;;;;
n178;"SRID=4326;POINT(8.02029033797883 50.9236168949394)";0;;;;;;
n179;"SRID=4326;POINT(13.9570055475871 53.252171625753)";104.2370341;;;;;;
n180;"SRID=4326;POINT(14.270834670665 53.0962865535819)";50.18649069;;;;;;
n181;"SRID=4326;POINT(14.0336963684666 53.5078685980791)";303.1532274;;;;;;
n183;"SRID=4326;POINT(9.90884752815356 53.4880466403676)";0;;;;;;
n184;"SRID=4326;POINT(6.61738109142906 51.4757909635544)";0;;;;;;
n185;"SRID=4326;POINT(6.65673519501182 51.379523634379)";0;;;;;;
n186;"SRID=4326;POINT(6.7111452744645 51.5261875490663)";0;;;;;;
n187;"SRID=4326;POINT(6.68934277038931 51.5764228881728)";0;;;;;;
n188;"SRID=4326;POINT(6.72365237186396 51.375845810902)";0;;;;;;
n189;"SRID=4326;POINT(8.61664767275337 48.0659537906797)";0;;;;;;
n190;"SRID=4326;POINT(8.87294280487974 48.3100912582216)";0;;;;;;
n191;"SRID=4326;POINT(6.71525259691926 51.5267908666491)";0;;;;;;
n192;"SRID=4326;POINT(12.1857651811846 53.8108597989599)";156.73218;;;;;;
n193;"SRID=4326;POINT(6.72256980950278 51.4797876727124)";0;;;;;;
n194;"SRID=4326;POINT(6.68306568260248 51.577104777735)";0;;;;;;
n195;"SRID=4326;POINT(6.68310697663871 51.5756455059265)";0;;;;;;
n196;"SRID=4326;POINT(6.74541676675317 51.4986419480434)";0;;;;;;
n197;"SRID=4326;POINT(6.61427855504049 51.6186788033284)";0;;;;;;
n198;"SRID=4326;POINT(7.9706568937083 51.6768446667846)";0;;;;;;
n199;"SRID=4326;POINT(7.44506930371379 51.6185000869374)";0;;;;;;
n200;"SRID=4326;POINT(6.73212495035583 51.4594437365975)";0;;;;;;
n201;"SRID=4326;POINT(9.25103425143703 53.1144323051271)";8.7635018;;;;;;
n202;"SRID=4326;POINT(7.32089257541703 52.4714572265383)";0;;;;;;
n204;"SRID=4326;POINT(7.70632726933662 51.278583155205)";0;;;;;;
n205;"SRID=4326;POINT(7.45034204531003 51.413608212821)";0;;;;;;
n206;"SRID=4326;POINT(6.63448162267058 51.0359799381303)";0;;;;;;
n207;"SRID=4326;POINT(7.60711612154456 51.8986046029193)";0;;;;;;
n208;"SRID=4326;POINT(7.4035444340631 51.644449487967)";0;;;;;;
n209;"SRID=4326;POINT(8.93969252741257 52.4030332405173)";0;;;;;;
n210;"SRID=4326;POINT(9.40952032742215 52.034316665873)";0;;;;;;
n211;"SRID=4326;POINT(7.23579344536789 49.3693923629482)";0;;;;;;
n212;"SRID=4326;POINT(6.81368431456473 49.7248340737293)";0;;;;;;
n213;"SRID=4326;POINT(8.58869049603326 49.8155140579794)";0;;;;;;
n214;"SRID=4326;POINT(8.5471609252134 49.4405396661002)";0.325846879;;;;;;
n215;"SRID=4326;POINT(8.40826973550855 49.5285689245626)";0;;;;;;
n216;"SRID=4326;POINT(9.1907874369222 48.914416873799)";0;;;;;;
n217;"SRID=4326;POINT(12.1320699705054 54.14245987564)";100.7631904;;;;;;
n218;"SRID=4326;POINT(12.2135605440795 54.1119998545154)";97.64868577;;;;;;
n219;"SRID=4326;POINT(8.5712588278729 52.1053649602273)";0;;;;;;
n220;"SRID=4326;POINT(8.65937290290079 51.9996101318907)";0;;;;;;
n221;"SRID=4326;POINT(7.31136229105814 53.1257665563186)";359.587291;;;;;;
n223;"SRID=4326;POINT(8.27327814618118 49.0293980916396)";0;;;;;;
n224;"SRID=4326;POINT(8.3523338799966 49.4212743386606)";0;;;;;;
n225;"SRID=4326;POINT(7.72920197913641 49.4826474297682)";0;;;;;;
n226;"SRID=4326;POINT(9.79733602695253 52.0008392513306)";0;;;;;;
n227;"SRID=4326;POINT(10.0821573264928 48.2660901578788)";0;;;;;;
n228;"SRID=4326;POINT(8.62716125806072 49.5435952670263)";0;;;;;;
n229;"SRID=4326;POINT(8.50180851652818 49.4449115114399)";0;;;;;;
n230;"SRID=4326;POINT(10.391776056934 48.5184609117668)";0;;;;;;
