l_id;v_id_1;v_id_2;wkt_srid_4326;1;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
210;88;129;"SRID=4326;LINESTRING(6.6746753206169 51.3249574728255,6.62582790177014 51.2606098249047)";;220000;3;2;50;Gellep West;Amprion;;9099;0.08;0.32;11.5;1.3;1174143
211;177;18;"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,13.6834769666546 54.1390906406635)";;220000;3;2;50;313;50Hertz_Transmission;313;56416;0.08;0.32;11.5;1.3;1177425
212;177;18;"SRID=4326;LINESTRING(13.0786421047586 54.2848461697305,13.6834769666546 54.1390906406635)";;220000;3;2;50;314;50Hertz_Transmission;314;56362;0.08;0.32;11.5;1.3;1177426
213;178;120;"SRID=4326;LINESTRING(8.02029033797883 50.9236168949394,7.86394571365263 50.7682419129404)";;220000;3;2;50;Heller Ost;Amprion;;46991;0.08;0.32;11.5;1.3;1182294
214;179;12;"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,13.7096697058228 52.5397952580643)";;220000;3;2;50;303;50Hertz_Transmission;303;86333;0.08;0.32;11.5;1.3;1188567
215;180;181;"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,14.0336963684666 53.5078685980791)";;220000;3;2;50;306;50Hertz Transmission;306;62054;0.08;0.32;11.5;1.3;1188568
216;182;180;"SRID=4326;LINESTRING(14.4762521006827 53.1967495480613,14.270834670665 53.0962865535819)";;220000;3;2;50;220kV Krajnik - Vierraden;"PSE Operator;50Hertz";507;26246;0.08;0.32;11.5;1.3;1188569
217;179;181;"SRID=4326;LINESTRING(13.9570055475871 53.252171625753,14.0336963684666 53.5078685980791)";;220000;3;2;50;305;50Hertz Transmission;305;29603;0.08;0.32;11.5;1.3;1188570
218;180;12;"SRID=4326;LINESTRING(14.270834670665 53.0962865535819,13.7096697058228 52.5397952580643)";;220000;3;2;50;304;50Hertz_Transmission;304;100983;0.08;0.32;11.5;1.3;1188571
219;183;30;"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)";;380000;3;4;50;E;50Hertz Transmission;E;28675;0.025;0.25;13.7;2.6;1188840
220;183;21;"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)";;380000;6;4;50;C;50Hertz Transmission;C;29674;0.0125;0.125;27.4;5.2;1188841
221;183;21;"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,10.1575015165126 53.5551316685834)";;380000;3;4;50;D;50Hertz Transmission;D;29628;0.025;0.25;13.7;2.6;1188844
222;183;30;"SRID=4326;LINESTRING(9.90884752815356 53.4880466403676,9.5017896678173 53.5428143723363)";;380000;3;4;50;F;50Hertz Transmission;F;28654;0.025;0.25;13.7;2.6;1188848
223;184;185;"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.65673519501182 51.379523634379)";;220000;3;1;50;Ürdingen West;Amprion;;14090;0.16;0.64;5.75;0.65;1190720
224;184;89;"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.72376714521247 51.3556543809247)";;220000;3;2;50;Mündelheim Nord;Amprion;;21946;0.08;0.32;11.5;1.3;1190723
225;184;186;"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.7111452744645 51.5261875490663)";;380000;3;4;50;Lohheide West;Amprion;;9562;0.025;0.25;13.7;2.6;1208415
226;184;187;"SRID=4326;LINESTRING(6.61738109142906 51.4757909635544,6.68934277038931 51.5764228881728)";;380000;3;4;50;Zensenbusch Süd;Amprion;;15588;0.025;0.25;13.7;2.6;1208417
227;137;105;"SRID=4326;LINESTRING(6.22183144595687 51.6946456422206,6.68078798893986 51.6462959356851)";;220000;3;2;50;Pfalzdorf Nord;Amprion;;41843;0.08;0.32;11.5;1.3;1208426
228;104;172;"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)";;220000;3;2;50;Emscher Nord;Amprion;;10353;0.08;0.32;11.5;1.3;1224880
229;104;172;"SRID=4326;LINESTRING(6.92675896360373 51.4992056838496,6.78752251671348 51.505550100013)";;220000;3;2;50;Emscher Süd;Amprion;;10342;0.08;0.32;11.5;1.3;1224881
230;89;175;"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72031000055597 51.3915325380171)";;220000;3;2;50;Rheinhausen West;Amprion;;5643;0.08;0.32;11.5;1.3;1225767
231;185;89;"SRID=4326;LINESTRING(6.65673519501182 51.379523634379,6.72376714521247 51.3556543809247)";;220000;3;2;50;Mündelheim Süd;Amprion;;8792;0.08;0.32;11.5;1.3;1225768
232;89;188;"SRID=4326;LINESTRING(6.72376714521247 51.3556543809247,6.72365237186396 51.375845810902)";;220000;3;2;50;Huckingen 2b;Amprion;;4702;0.08;0.32;11.5;1.3;1225769
233;189;190;"SRID=4326;LINESTRING(8.61664767275337 48.0659537906797,8.87294280487974 48.3100912582216)";;380000;3;3;;ENGST-TRSNG;EnBW;;37253;0.033333;0.333333;10.275;1.95;1460038
234;191;172;"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)";;220000;3;2;50;Walsum Süd;Amprion;;6769;0.08;0.32;11.5;1.3;1491474
235;191;172;"SRID=4326;LINESTRING(6.71525259691926 51.5267908666491,6.78752251671348 51.505550100013)";;220000;3;2;50;Walsum Nord;Amprion;;6525;0.08;0.32;11.5;1.3;1491477
236;42;192;"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)";;220000;3;2;50;;50Hertz;;929;0.08;0.32;11.5;1.3;1521278
237;42;192;"SRID=4326;LINESTRING(12.1869848227216 53.8157751724384,12.1857651811846 53.8108597989599)";;220000;3;2;50;;50Hertz;;933;0.08;0.32;11.5;1.3;1521279
