l_id;v_id_1;v_id_2;wkt_srid_4326;1;voltage;cables;wires;frequency;name;operator;ref;length_m;r_ohmkm;x_ohmkm;c_nfkm;i_th_max_a;from_relation
430;133;117;"SRID=4326;LINESTRING(6.8426506615144 50.8635385008881,6.97257742700703 50.795693017514)";;380000;3;2;50;Walberberg West;Amprion;;12907;0.05;0.5;6.85;1.3;3228401
431;71;74;"SRID=4326;LINESTRING(12.2621734868101 51.7410202755519,13.9024346886892 51.8747235190459)";;380000;3;3;50;502;50Hertz;502;169144;0.033333;0.333333;10.275;1.95;3302864
432;74;280;"SRID=4326;LINESTRING(13.9024346886892 51.8747235190459,13.3823233828996 51.3559961579888)";;380000;;4;50;561 Ragow-Streumen;50Hertz;561;89080;;;;;3306342
433;74;280;"SRID=4326;LINESTRING(13.9024346886892 51.8747235190459,13.3823233828996 51.3559961579888)";;380000;;4;50;562 Ragow-Streumen;50Hertz;562;89092;;;;;3306343
434;94;265;"SRID=4326;LINESTRING(8.30775689679575 52.3456356447783,8.10495957410199 52.2642613740358)";;220000;3;2;50;Bohmte Ost;Amprion;;21136;0.08;0.32;11.5;1.3;3345100
435;300;94;"SRID=4326;LINESTRING(8.40314143640892 52.609644011383,8.30775689679575 52.3456356447783)";;220000;3;2;50;Diepholz Ost;Amprion;;32823;0.08;0.32;11.5;1.3;3345101
436;16;5;"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.3662749375017 52.2846467462009)";;380000;3;;50;Leitung 3023;TenneT;1;36248;;;;;3528700
437;5;301;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.2358631058452 52.2934595399896)";;380000;3;4;50;Leitung 3026;TenneT;3026;9376;0.025;0.25;13.7;2.6;3533527
438;32;294;"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.9910146333086 50.573526990181)";;380000;6;;50;380 kV Leitung Thüringer Wald;;;55908;;;;;3533700
439;5;29;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.3821666628198 52.9932540372914)";;380000;3;4;50;Leitung 3007;TenneT;1;85872;0.025;0.25;13.7;2.6;3534540
440;5;29;"SRID=4326;LINESTRING(10.3662749375017 52.2846467462009,10.3821666628198 52.9932540372914)";;380000;3;4;50;Leitung 3007;TenneT;2;85877;0.025;0.25;13.7;2.6;3534541
441;9;29;"SRID=4326;LINESTRING(10.3787705903765 53.2197927685849,10.3821666628198 52.9932540372914)";;380000;3;4;50;Leitung 3021;TenneT;;25563;0.025;0.25;13.7;2.6;3534542
442;37;292;"SRID=4326;LINESTRING(11.6389127631156 52.2687346818467,11.6441811001256 51.908512873438)";;220000;6;2;50;;50Hertz;344;45800;0.04;0.16;23;2.6;3584453
443;302;303;"SRID=4326;LINESTRING(9.5142400914841 51.2590355805955,9.38765125748855 51.640733525594)";;380000;6;4;50;;;;56513;0.0125;0.125;27.4;5.2;3687783
444;51;302;"SRID=4326;LINESTRING(9.25938382024592 51.0603668474477,9.5142400914841 51.2590355805955)";;380000;6;4;;;;;29729;0.0125;0.125;27.4;5.2;3687803
445;246;304;"SRID=4326;LINESTRING(8.95870856177306 50.0826078105489,9.77415043834156 50.5287496465011)";;380000;6;4;;Dipperz - Großkrotzenburg;;;89118;0.0125;0.125;27.4;5.2;3688562
446;31;304;"SRID=4326;LINESTRING(9.74615081640288 50.9168399490798,9.77415043834156 50.5287496465011)";;380000;6;4;50;;TenneT;3010;50472;0.0125;0.125;27.4;5.2;3688563
447;51;284;"SRID=4326;LINESTRING(9.25938382024592 51.0603668474477,8.65659923594081 50.6055491256016)";;380000;6;4;50;;TenneT;3002;72644;0.0125;0.125;27.4;5.2;3688564
448;305;306;"SRID=4326;LINESTRING(9.17745967557079 49.037809850476,9.17731110343941 49.039378200434)";;380000;;;;Einspeisung Umrichter Neckarwestheim;;;254;;;;;3693985
449;307;306;"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.17731110343941 49.039378200434)";;380000;3;3;50;;;;16813;0.033333;0.333333;10.275;1.95;3693986
450;307;261;"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.0454349679866 48.9029620137561)";;380000;6;;50;;;;29602;;;;;3693987
451;308;309;"SRID=4326;LINESTRING(10.1878339995516 49.981219040845,9.44691867105201 49.5902629324336)";;380000;3;;;Grafenrheinfeld - Höpfingen;;;93088;;;;;3694014
452;307;310;"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.20736443093694 49.1766379540065)";;380000;;;50;;;;7010;;;;;3694015
453;307;311;"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.69465635518013 49.2325925411591)";;380000;3;3;50;Kupferzell - Großgartach;;;47716;0.033333;0.333333;10.275;1.95;3694016
454;312;311;"SRID=4326;LINESTRING(10.1174866946797 48.8971053361382,9.69465635518013 49.2325925411591)";;380000;3;4;50;;;;55253;0.025;0.25;13.7;2.6;3694017
455;308;311;"SRID=4326;LINESTRING(10.1878339995516 49.981219040845,9.69465635518013 49.2325925411591)";;380000;3;;;;;348;102044;;;;;3694018
456;307;261;"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.0454349679866 48.9029620137561)";;380000;6;;;Großgartach-Pulverdingen;;;29602;;;;;3697399
457;313;282;"SRID=4326;LINESTRING(12.3374229103144 51.1969683571228,12.5182220968156 51.1570725850832)";;380000;6;;;"587;588 Pulgar - Eula";50Hertz;"587;588";19833;;;;;3707291
458;282;280;"SRID=4326;LINESTRING(12.5182220968156 51.1570725850832,13.3823233828996 51.3559961579888)";;380000;6;3;;"585;586 Eula - Streumen";50Hertz;"585;586";84472;0.016667;0.166667;20.55;3.9;3707292
459;313;32;"SRID=4326;LINESTRING(12.3374229103144 51.1969683571228,11.1228545605428 50.9989090670144)";;380000;3;3;;Pulgar - Vieselbach;50Hertz Transmission;589;104459;0.033333;0.333333;10.275;1.95;3707293
460;13;314;"SRID=4326;LINESTRING(11.3704262486892 48.2914922329548,10.8675658805484 48.5394690937344)";;380000;6;4;;;;"419;420";50049;0.0125;0.125;27.4;5.2;3710278
461;315;316;"SRID=4326;LINESTRING(10.8408695619217 48.2380310092335,10.9367289314287 48.4013064414835)";;380000;3;4;;;;A12;35191;0.025;0.25;13.7;2.6;3710279
462;314;315;"SRID=4326;LINESTRING(10.8675658805484 48.5394690937344,10.8408695619217 48.2380310092335)";;380000;3;4;;;;L11;51635;0.025;0.25;13.7;2.6;3710281
463;247;317;"SRID=4326;LINESTRING(10.363384232266 47.7383368092793,10.8739357569814 47.2444239286028)";;220000;3;4;;Leupolz - Westtirol (220 kV);;;81783;0.04;0.16;23;2.6;3710282
464;247;317;"SRID=4326;LINESTRING(10.363384232266 47.7383368092793,10.8739357569814 47.2444239286028)";;380000;3;4;;Leupolz - Westtirol (380 kV);;;81803;0.025;0.25;13.7;2.6;3710283
465;314;318;"SRID=4326;LINESTRING(10.8675658805484 48.5394690937344,10.8637616199498 48.5468231051405)";;380000;6;4;;;;"M12/1;M12/2";1017;0.0125;0.125;27.4;5.2;3710284
466;314;316;"SRID=4326;LINESTRING(10.8675658805484 48.5394690937344,10.9367289314287 48.4013064414835)";;380000;3;4;;;;;30843;0.025;0.25;13.7;2.6;3710286
467;264;236;"SRID=4326;LINESTRING(9.42551238607291 48.0643507981263,9.19675652645089 48.9129634380259)";;220000;3;2;;;;;123643;0.08;0.32;11.5;1.3;3712136
468;264;216;"SRID=4326;LINESTRING(9.42551238607291 48.0643507981263,9.1907874369222 48.914416873799)";;380000;3;2;;;;;123150;0.05;0.5;6.85;1.3;3712137
469;319;233;"SRID=4326;LINESTRING(9.70423149899321 48.465063732143,9.88551509756969 48.3040743584705)";;380000;;3;;Dellmensingen - Laichingen;;;24464;;;;;3712217
470;320;319;"SRID=4326;LINESTRING(9.40063139462492 48.6669424396984,9.70423149899321 48.465063732143)";;380000;3;3;;Laichingen - Wendlingen;;;36006;0.033333;0.333333;10.275;1.95;3717715
471;231;52;"SRID=4326;LINESTRING(7.95805402328778 47.5954722640613,8.3133401659254 49.0090434643525)";;380000;3;4;;Daxlanden - Kühmoos;;;203683;0.025;0.25;13.7;2.6;3717717
472;321;322;"SRID=4326;LINESTRING(7.5724373132812 48.0188749889275,7.75186249820802 48.0964057188536)";;220000;3;4;;Eichstetten (DE) - Vogelgrün (FR);;;18421;0.04;0.16;23;2.6;3717719
473;279;323;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,12.4772465232803 50.7531200813148)";;220000;3;;50;Röhrsdorf - Crossen;50Hertz;212;30268;;;;;3730414
474;279;65;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.3264049984725 50.3463721850552)";;380000;3;3;50;;;445;81695;0.033333;0.333333;10.275;1.95;3730415
475;324;290;"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,14.2192282929357 51.120707992198)";;380000;3;3;;553 Schmölln - Hagenwerder;50Hertz;553;56706;0.033333;0.333333;10.275;1.95;3730416
476;324;325;"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,15.1149907448572 51.0905795559394)";;380000;3;3;;;;567;15195;0.033333;0.333333;10.275;1.95;3730417
477;324;325;"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,15.1149907448572 51.0905795559394)";;380000;3;3;;;;568;16031;0.033333;0.333333;10.275;1.95;3730418
478;279;326;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.8412680841242 50.9901759359427)";;380000;3;3;;;50Hertz;591;85425;0.033333;0.333333;10.275;1.95;3730420
479;326;327;"SRID=4326;LINESTRING(13.8412680841242 50.9901759359427,13.255555023675 50.9301782416399)";;380000;3;3;;;50Hertz;592;47804;0.033333;0.333333;10.275;1.95;3730421
480;279;327;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.255555023675 50.9301782416399)";;380000;3;3;;;50Hertz;594;37540;0.033333;0.333333;10.275;1.95;3730422
481;328;329;"SRID=4326;LINESTRING(13.0818771201792 48.2565212405017,13.0027821071279 48.261968265807)";;220000;3;;;Simbach (DE) - St. Peter (AT);;230;11577;;;;;3732376
482;330;328;"SRID=4326;LINESTRING(12.2208353620671 48.5857329876532,13.0818771201792 48.2565212405017)";;220000;3;1;;Altheim (DE) - St. Peter (AT);;233;77901;0.16;0.64;5.75;0.65;3732377
483;330;329;"SRID=4326;LINESTRING(12.2208353620671 48.5857329876532,13.0027821071279 48.261968265807)";;220000;3;1;;;;234;74318;0.16;0.64;5.75;0.65;3732378
484;328;331;"SRID=4326;LINESTRING(13.0818771201792 48.2565212405017,12.7474442277007 48.1487558434787)";;220000;3;;;St. Peter (AT) - Pirach (DE);;256;42444;;;;;3732379
485;332;331;"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,12.7474442277007 48.1487558434787)";;220000;3;;;;;257;86211;;;;;3732380
486;332;328;"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,13.0818771201792 48.2565212405017)";;220000;3;;;Pleinting (DE) - St. Peter (AT);;258;48682;;;;;3732381
487;273;333;"SRID=4326;LINESTRING(9.27063390877085 55.0370264816237,9.19698235871826 54.8510986052119)";;400000;6;2;;Jardelund (DE) - Kassø (DK);;;22795;;;;;3732382
488;334;78;"SRID=4326;LINESTRING(11.193727795361 50.1622144406172,11.6463786274424 50.534876971042)";;380000;3;3;;;;413;56075;0.033333;0.333333;10.275;1.95;3732383
489;335;308;"SRID=4326;LINESTRING(10.8360157547717 49.9280673897058,10.1878339995516 49.981219040845)";;380000;3;4;;;;423;49559;0.025;0.25;13.7;2.6;3732385
490;334;335;"SRID=4326;LINESTRING(11.193727795361 50.1622144406172,10.8360157547717 49.9280673897058)";;380000;3;4;;;;435;43347;0.025;0.25;13.7;2.6;3732387
491;334;336;"SRID=4326;LINESTRING(11.193727795361 50.1622144406172,11.8107025453557 50.1837655260691)";;380000;3;2;;;;437;49456;0.05;0.5;6.85;1.3;3732388
492;66;336;"SRID=4326;LINESTRING(12.1147644054101 49.6311550521523,11.8107025453557 50.1837655260691)";;380000;3;2;;;;437;88445;0.05;0.5;6.85;1.3;3732389
493;332;337;"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,12.2968837896062 48.6069099225677)";;380000;6;4;;;;"451;452";63598;0.0125;0.125;27.4;5.2;3732390
494;338;66;"SRID=4326;LINESTRING(12.0822544456506 49.2974477669261,12.1147644054101 49.6311550521523)";;380000;3;2;;;;457;43477;0.05;0.5;6.85;1.3;3732391
495;332;338;"SRID=4326;LINESTRING(13.1034346393158 48.6667929606034,12.0822544456506 49.2974477669261)";;380000;3;2;;;;465;112737;0.05;0.5;6.85;1.3;3732392
496;68;70;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.38855636787547 49.9823050841271)";;380000;3;;;Trebur Nord;;;47115;;;;;3736194
497;68;339;"SRID=4326;LINESTRING(8.77244296019056 49.974668665137,8.95368121281126 49.5674431691125)";;220000;3;;;Urberach - Beerfelden;;;52848;;;;;3736195
498;324;290;"SRID=4326;LINESTRING(14.9464972856333 51.0625862159619,14.2192282929357 51.120707992198)";;380000;3;3;;554 Schmöln - Hagenwerder;50Hertz;554;56706;0.033333;0.333333;10.275;1.95;3738981
499;326;290;"SRID=4326;LINESTRING(13.8412680841242 50.9901759359427,14.2192282929357 51.120707992198)";;380000;;;50;;50Hertz;"555;556";36468;;;;;3738982
500;340;282;"SRID=4326;LINESTRING(12.4696440085589 51.3716629493371,12.5182220968156 51.1570725850832)";;220000;6;2;;;50Hertz;"205;206";27915;0.04;0.16;23;2.6;3739951
501;341;282;"SRID=4326;LINESTRING(12.2488239057592 51.1978824277899,12.5182220968156 51.1570725850832)";;220000;3;1;;;50Hertz;233;26927;0.16;0.64;5.75;0.65;3739952
502;341;342;"SRID=4326;LINESTRING(12.2488239057592 51.1978824277899,10.7346694298176 51.4401867580454)";;220000;;;;;50Hertz;357;131762;;;;;3739953
503;282;342;"SRID=4326;LINESTRING(12.5182220968156 51.1570725850832,10.7346694298176 51.4401867580454)";;220000;3;1;;;50Hertz;358;158686;0.16;0.64;5.75;0.65;3739954
504;343;294;"SRID=4326;LINESTRING(11.0049169149012 50.5074149690608,10.9910146333086 50.573526990181)";;380000;6;3;;Altenfeld - Goldisthal;;461,462;8083;0.016667;0.166667;20.55;3.9;3739955
505;340;282;"SRID=4326;LINESTRING(12.4696440085589 51.3716629493371,12.5182220968156 51.1570725850832)";;220000;;;;"205;206 Taucha - Eula";50Hertz;"205;206";27915;;;;;3742236
506;279;344;"SRID=4326;LINESTRING(12.8139099116529 50.8579185114397,13.0025898987886 50.8659127196838)";;220000;3;2;;;50Hertz;226;18307;0.08;0.32;11.5;1.3;3742237
507;281;345;"SRID=4326;LINESTRING(12.0449825161601 50.7812567340735,12.2428369226029 50.5674531670625)";;220000;6;;;;50Hertz;"231;232";32217;;;;;3742238
508;32;342;"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.7346694298176 51.4401867580454)";;220000;3;2;;367 Wolkramshausen - Vieselbach;50Hertz;367;65759;0.08;0.32;11.5;1.3;3742239
509;32;342;"SRID=4326;LINESTRING(11.1228545605428 50.9989090670144,10.7346694298176 51.4401867580454)";;220000;3;2;;368 Wolkramshausen - Vieselbach;;368;65756;0.08;0.32;11.5;1.3;3742240
510;72;32;"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.1228545605428 50.9989090670144)";;380000;3;4;;471 Lauchstädt - Vieselbach;50Hertz;471;78038;0.025;0.25;13.7;2.6;3742241
511;72;32;"SRID=4326;LINESTRING(11.8942661378135 51.4057031412478,11.1228545605428 50.9989090670144)";;380000;3;4;;472 Lauchstädt - Vieselbach;50Hertz;472;78034;0.025;0.25;13.7;2.6;3742242
512;346;347;"SRID=4326;LINESTRING(13.249028367237 52.5316238928337,13.3155158513838 52.5219993683183)";;380000;6;3;;;;"903;904";4993;0.016667;0.166667;20.55;3.9;3749523
513;348;47;"SRID=4326;LINESTRING(13.3686584616208 52.5031422115792,13.4564306927748 52.5214517451981)";;380000;6;;;;;"919;920";6550;;;;;3749524
514;46;47;"SRID=4326;LINESTRING(13.5241987309997 52.5356342713481,13.4564306927748 52.5214517451981)";;380000;6;;;;;"921;922";5184;;;;;3749525
515;348;347;"SRID=4326;LINESTRING(13.3686584616208 52.5031422115792,13.3155158513838 52.5219993683183)";;380000;6;;;Charlottenburg - Mitte;;;4169;;;;;3749526
516;349;330;"SRID=4326;LINESTRING(11.7924138446413 48.8382240226632,12.2208353620671 48.5857329876532)";;220000;6;1;;;;"219;220";45232;0.08;0.32;11.5;1.3;3749845
517;349;350;"SRID=4326;LINESTRING(11.7924138446413 48.8382240226632,11.3269526751765 49.393473117636)";;220000;6;1;;;;221;73862;0.08;0.32;11.5;1.3;3749846
518;338;350;"SRID=4326;LINESTRING(12.0822544456506 49.2974477669261,11.3269526751765 49.393473117636)";;220000;3;2;;;;223;62842;0.08;0.32;11.5;1.3;3749847
519;349;351;"SRID=4326;LINESTRING(11.7924138446413 48.8382240226632,11.5077305510922 48.7611239877457)";;220000;;2;;;;"227;228";24279;;;;;3749848
520;338;336;"SRID=4326;LINESTRING(12.0822544456506 49.2974477669261,11.8107025453557 50.1837655260691)";;220000;3;1;;;;248;131429;0.16;0.64;5.75;0.65;3749849
521;14;352;"SRID=4326;LINESTRING(11.8132328973194 48.2212664654998,11.8076056361242 48.4554267991033)";;220000;3;2;;;;258;32772;0.08;0.32;11.5;1.3;3749850
522;352;353;"SRID=4326;LINESTRING(11.8076056361242 48.4554267991033,11.5813705216127 48.7648940508515)";;220000;3;2;;;;262;39745;0.08;0.32;11.5;1.3;3749851
523;15;353;"SRID=4326;LINESTRING(11.8681562938884 48.2068029185353,11.5813705216127 48.7648940508515)";;380000;3;2;;;;421;76222;0.05;0.5;6.85;1.3;3749852
524;354;15;"SRID=4326;LINESTRING(11.6393121107521 48.1787834095237,11.8681562938884 48.2068029185353)";;380000;3;4;;;;429;17705;0.025;0.25;13.7;2.6;3749853
525;354;15;"SRID=4326;LINESTRING(11.6393121107521 48.1787834095237,11.8681562938884 48.2068029185353)";;380000;3;4;;;;430;17629;0.025;0.25;13.7;2.6;3749854
526;15;337;"SRID=4326;LINESTRING(11.8681562938884 48.2068029185353,12.2968837896062 48.6069099225677)";;380000;9;4;;;;"443;444;446";61235;0.008333;0.083333;41.1;7.8;3749855
527;232;227;"SRID=4326;LINESTRING(10.0837512706734 48.268867515302,10.0821573264928 48.2660901578788)";;380000;;;;Vöhringen Amprion - LEW;;;161;;;;;3749856
528;315;232;"SRID=4326;LINESTRING(10.8408695619217 48.2380310092335,10.0837512706734 48.268867515302)";;220000;3;;;Vöhringen LEW - Oberottmarshausen;;;59714;;;;;3749857
529;235;322;"SRID=4326;LINESTRING(8.25192548128222 47.6397698264894,7.75186249820802 48.0964057188536)";;220000;6;;;;EnBW;5120;72340;;;;;3756855
530;322;288;"SRID=4326;LINESTRING(7.75186249820802 48.0964057188536,7.91072928612534 48.5012882982432)";;220000;6;4;;Weier - Eichstetten;;;48816;0.02;0.08;46;5.2;3756856
531;355;100;"SRID=4326;LINESTRING(6.17791451185192 49.9530650802033,6.47473977006816 49.9224692993999)";;220000;6;;;Niederstedem (DE) - Vianden (LU);;;23056;;;;;3756857
532;356;355;"SRID=4326;LINESTRING(6.21102031526762 49.9586257531557,6.17791451185192 49.9530650802033)";;220000;3;;;Bauler (DE) - Vianden (LU);;;2552;;;;;3756858
533;357;356;"SRID=4326;LINESTRING(6.11451700702834 49.9053646588261,6.21102031526762 49.9586257531557)";;220000;3;;;Bauler (DE) - Flebour (LU);;;10361;;;;;3756859
534;356;358;"SRID=4326;LINESTRING(6.21102031526762 49.9586257531557,6.08346044961418 49.7764406189112)";;220000;3;;;Bauler (DE) - Roost (LU);;;28063;;;;;3756860
535;359;360;"SRID=4326;LINESTRING(6.27694178519793 49.1977400673896,6.77320783777607 49.2910742103854)";;380000;6;4;;Ensdorf (DE) - Vigy (FR);;;40228;0.0125;0.125;27.4;5.2;3756990
536;360;361;"SRID=4326;LINESTRING(6.77320783777607 49.2910742103854,6.70365235663769 49.1385111923078)";;220000;3;2;;Ensdorf (DE) - Saint Avold (FR);;;20195;0.08;0.32;11.5;1.3;3756991
537;235;362;"SRID=4326;LINESTRING(8.25192548128222 47.6397698264894,8.04936352422006 47.550881853478)";;220000;6;;;Gurtweil (DE) - Laufenburg (CH);;;22565;;;;;3756997
538;167;363;"SRID=4326;LINESTRING(7.52228010104186 51.5321980552231,7.50006173413631 51.535174092458)";;220000;6;2;;Wambel - Ratsbusch;;;1864;0.04;0.16;23;2.6;3763835
539;125;364;"SRID=4326;LINESTRING(6.96568442352005 51.0693295322353,6.97593254033334 51.0376007284972)";;220000;6;;;Wiesdorf Ltg;;;3618;;;;;3763836
540;365;346;"SRID=4326;LINESTRING(13.2428489964032 52.5349539946502,13.249028367237 52.5316238928337)";;380000;6;;;Reuter;;"901;902";1538;;;;;3764521
541;261;366;"SRID=4326;LINESTRING(9.0454349679866 48.9029620137561,8.56218193445384 49.132949935954)";;380000;3;3;50;Bruchsal-Kändelweg-Pulverdingen;;;56618;0.033333;0.333333;10.275;1.95;3767046
542;54;56;"SRID=4326;LINESTRING(8.43846751211921 49.2524597288652,8.62320967451897 49.3565822492832)";;380000;3;;;HD-Neurott - Phillipsburg;;;22305;;;;;3767048
543;367;366;"SRID=4326;LINESTRING(8.4413154852023 49.2514026469585,8.56218193445384 49.132949935954)";;380000;3;3;50;Philippsburg-Bruchsal-Kändelweg;;;21649;0.033333;0.333333;10.275;1.95;3767049
544;231;368;"SRID=4326;LINESTRING(7.95805402328778 47.5954722640613,7.94208128553147 47.6533415488354)";;380000;3;;;Wehr - Kühmoos II;Schluchseewerk AG;;7644;;;;;3782492
545;231;368;"SRID=4326;LINESTRING(7.95805402328778 47.5954722640613,7.94208128553147 47.6533415488354)";;380000;3;;;Wehr - Kühmoos I;Schluchseewerk AG;;7667;;;;;3782493
546;30;369;"SRID=4326;LINESTRING(9.5017896678173 53.5428143723363,9.06879105808819 53.5666414121342)";;380000;3;2;50;Alfstedt - Dollern;TenneT;;32522;0.05;0.5;6.85;1.3;3803146
547;61;369;"SRID=4326;LINESTRING(8.51888180951659 53.2026352836834,9.06879105808819 53.5666414121342)";;380000;3;2;50;Farge - Alfstedt;TenneT;;58735;0.05;0.5;6.85;1.3;3803147
548;256;370;"SRID=4326;LINESTRING(6.75552340556687 49.3648695914696,6.7413761724965 49.3574919373628)";;220000;6;2;;Diefflen - Dillinger Hütte;;;1300;0.04;0.16;23;2.6;3803492
549;256;371;"SRID=4326;LINESTRING(6.75552340556687 49.3648695914696,6.74970009407096 49.3651763747607)";;220000;3;2;50;Diefflen - Obergraben;amprion;2460;481;0.08;0.32;11.5;1.3;3803493
550;256;372;"SRID=4326;LINESTRING(6.75552340556687 49.3648695914696,6.76601564520935 49.3600771523749)";;220000;3;2;50;Diefflen - Saarwellingen;amprion;2451;1123;0.08;0.32;11.5;1.3;3803494
551;99;360;"SRID=4326;LINESTRING(6.99647659179489 49.3754093063084,6.77320783777607 49.2910742103854)";;380000;6;4;;Uchtelfangen - Ensdorf;;;23317;0.0125;0.125;27.4;5.2;3803495
552;356;100;"SRID=4326;LINESTRING(6.21102031526762 49.9586257531557,6.47473977006816 49.9224692993999)";;220000;6;;;;;;20457;;;;;3803496
553;356;355;"SRID=4326;LINESTRING(6.21102031526762 49.9586257531557,6.17791451185192 49.9530650802033)";;220000;3;;;Bauler (DE) - Vianden (LU);;;2552;;;;;3803497
554;334;78;"SRID=4326;LINESTRING(11.193727795361 50.1622144406172,11.6463786274424 50.534876971042)";;380000;3;3;;;;414;56065;0.033333;0.333333;10.275;1.95;3805411
555;338;373;"SRID=4326;LINESTRING(12.0822544456506 49.2974477669261,12.1504016214021 49.0127518128214)";;220000;3;;;;;275;35887;;;;;3861963
556;207;374;"SRID=4326;LINESTRING(7.60711612154456 51.8986046029193,7.5913598406626 51.928441667004)";;220000;3;;;Amelsbüren - Münster;;;3523;;;;;3861964
557;57;375;"SRID=4326;LINESTRING(8.44554248929306 48.9860881753906,8.45154437251894 49.0074029130057)";;220000;3;2;;Oberwald - Elfmorgenbruch;;;2681;0.08;0.32;11.5;1.3;3861966
558;209;376;"SRID=4326;LINESTRING(8.93969252741257 52.4030332405173,8.99620817966153 52.379587985752)";;380000;3;4;;3016;;;5847;0.025;0.25;13.7;2.6;3862869
559;377;378;"SRID=4326;LINESTRING(9.56282337410874 48.7014898200493,9.37084541589578 48.7191233300187)";;380000;3;3;;AL1-BZW;;;19652;0.033333;0.333333;10.275;1.95;3862870
560;378;379;"SRID=4326;LINESTRING(9.37084541589578 48.7191233300187,9.37760577643558 48.812606857093)";;380000;3;3;;AL1-EDS;;;13380;0.033333;0.333333;10.275;1.95;3862871
561;16;49;"SRID=4326;LINESTRING(10.7610403785613 52.3677293804096,10.99933301239 52.2001419745622)";;380000;3;;;;;3024;26178;;;;;3883856
562;320;379;"SRID=4326;LINESTRING(9.40063139462492 48.6669424396984,9.37760577643558 48.812606857093)";;380000;3;3;;EDS-WDL;;;20599;0.033333;0.333333;10.275;1.95;3862873
563;380;299;"SRID=4326;LINESTRING(9.82158380229154 52.4248552546066,10.0876467999739 52.3151305547947)";;220000;3;2;;Mehrum - Lahe;;;26528;0.08;0.32;11.5;1.3;3862874
564;307;381;"SRID=4326;LINESTRING(9.15135394990856 49.1433834119236,9.0762254363019 49.3633869626072)";;220000;3;2;;Großgartach - Obrigheim;;;27260;0.08;0.32;11.5;1.3;3866628
565;382;308;"SRID=4326;LINESTRING(10.1602912689993 49.9891947837947,10.1878339995516 49.981219040845)";;220000;3;2;50;;;234;2735;0.08;0.32;11.5;1.3;3866867
566;382;383;"SRID=4326;LINESTRING(10.1602912689993 49.9891947837947,10.1964915719944 50.0279724033143)";;220000;3;;;;;271;5191;;;;;3866868
567;384;382;"SRID=4326;LINESTRING(10.8431177989998 49.3786926858391,10.1602912689993 49.9891947837947)";;220000;3;2;;;;278;90818;0.08;0.32;11.5;1.3;3866869
568;246;385;"SRID=4326;LINESTRING(8.95870856177306 50.0826078105489,9.09051754868887 49.9700413735997)";;380000;3;3;;;;412;29655;0.033333;0.333333;10.275;1.95;3866871
569;246;308;"SRID=4326;LINESTRING(8.95870856177306 50.0826078105489,10.1878339995516 49.981219040845)";;380000;;3;;;;417;116059;;;;;3866872
570;385;308;"SRID=4326;LINESTRING(9.09051754868887 49.9700413735997,10.1878339995516 49.981219040845)";;380000;;;;;;418;86838;;;;;3866873
571;382;308;"SRID=4326;LINESTRING(10.1602912689993 49.9891947837947,10.1878339995516 49.981219040845)";;380000;;;;;;485;2265;;;;;3866874
572;382;308;"SRID=4326;LINESTRING(10.1602912689993 49.9891947837947,10.1878339995516 49.981219040845)";;380000;3;4;;;;487;2958;0.025;0.25;13.7;2.6;3866875
573;254;225;"SRID=4326;LINESTRING(7.79256714933307 49.8105487811028,7.72920197913641 49.4826474297682)";;220000;3;1;;Pfalz;;;46959;0.16;0.64;5.75;0.65;3868253
574;220;76;"SRID=4326;LINESTRING(8.65937290290079 51.9996101318907,8.70221844882815 51.7363525828065)";;380000;6;4;;Bechterdissen - Elsen;TenneT;;32023;0.0125;0.125;27.4;5.2;3873611
575;220;386;"SRID=4326;LINESTRING(8.65937290290079 51.9996101318907,8.8139941935628 51.9834366294197)";;220000;3;2;;Bechterdissen - Lage;;A3;12009;0.08;0.32;11.5;1.3;3873612
576;387;386;"SRID=4326;LINESTRING(8.93221843866486 52.1933124298166,8.8139941935628 51.9834366294197)";;220000;3;1;;Lage - Veltheim;;A6;40637;0.16;0.64;5.75;0.65;3873613
