v_id;wkt_srid_4326;Average price 24;Average price 100;;;;;
n116;"SRID=4326;POINT(6.77252309438106 51.1471054906194)";61.66658782;44.33024753;;;;n159;1.62485355
n117;"SRID=4326;POINT(6.97257742700703 50.795693017514)";31.75940004;156.185909;;;;n160;2.49409665
n118;"SRID=4326;POINT(7.13689469738717 50.6428608767133)";17.55209062;326.3568089;;;;n161;2.422729692
n119;"SRID=4326;POINT(6.45655246642153 50.8713380368705)";22.42276663;3.105036453;;;;n177;0.379913876
n120;"SRID=4326;POINT(7.86394571365263 50.7682419129404)";35.14168383;222.7254017;;;;n180;2.688867273
n121;"SRID=4326;POINT(6.32166491493505 50.8383473627586)";22.42276663;3.105036453;;;;n181;1.215759222
n122;"SRID=4326;POINT(6.16738169006425 50.8020442927138)";22.42276663;3.105036453;;;;n192;3.523974862
n123;"SRID=4326;POINT(6.70220337779745 51.0088609096753)";14.67938898;22.65734628;;;;n214;0.325846879
n124;"SRID=4326;POINT(6.61240231530956 51.0359242594819)";22.84986123;18.23502814;;;;n217;0.669671268
n125;"SRID=4326;POINT(6.96568442352005 51.0693295322353)";19.63402617;47.99198362;;;;n218;1.007959034
n126;"SRID=4326;POINT(7.23319684331545 51.2325069075148)";23.95791122;96.71160526;;;;n221;3.31018036
n127;"SRID=4326;POINT(6.30090123786765 50.8289532122665)";22.42276663;3.105036453;;;;n260;4.570000143
n128;"SRID=4326;POINT(7.44948529010545 50.4025276621126)";#DIV/0!;536.590497;;;;n270;4.955836676
n129;"SRID=4326;POINT(6.62582790177014 51.2606098249047)";156.0964773;95.99502215;;;;n271;0.650746302
n130;"SRID=4326;POINT(7.12308195236379 51.1715887782054)";22.24119366;77.36839218;;;;n272;4.700004954
n131;"SRID=4326;POINT(6.80109333956604 51.1225390518584)";23.25382851;17.51967033;;;;n274;0.317214629
n132;"SRID=4326;POINT(7.00877914033175 51.1742549180397)";30.0688328;-26.62234827;;;;n285;12.43362825
n133;"SRID=4326;POINT(6.8426506615144 50.8635385008881)";25.50154542;107.2630874;;;;n298;0.146363264
n134;"SRID=4326;POINT(6.80461158012622 50.9662452961379)";-85.80819929;-35.15471534;;;;n299;1.444366949
n135;"SRID=4326;POINT(7.7186272145384 51.5342075115271)";6.192944358;400.9456207;;;;n313;0.132818271
n136;"SRID=4326;POINT(7.93077008561427 51.6729710197069)";31.021713;410.1173048;;;;n346;0.34818306
n137;"SRID=4326;POINT(6.22183144595687 51.6946456422206)";41.44705502;134.1550993;;;;n347;0.629191454
n138;"SRID=4326;POINT(7.00674987859998 51.5999114220203)";42.36123154;53.20568833;;;;n348;0.415926329
n139;"SRID=4326;POINT(7.03761988504233 51.5985496311832)";44.48605414;39.48576032;;;;n365;0.162239451
n140;"SRID=4326;POINT(7.2640834625924 51.5735734103802)";229.1423606;719.2683657;;;;n398;4.412221585
n141;"SRID=4326;POINT(7.2789471130269 51.4722816773138)";593.7174823;131.9035689;;;;n401;0.254717132
n142;"SRID=4326;POINT(7.18667755311932 51.550589070577)";66.89380538;186.1600677;;;;n402;1.58412058
n143;"SRID=4326;POINT(7.35135784054859 51.568368608134)";229.1423606;719.2683657;;;;n408;6.170335113
n144;"SRID=4326;POINT(7.17937912538938 51.4722019484347)";103.4989433;641.7102364;;;;n411;0.504809503
n145;"SRID=4326;POINT(6.93488869659333 51.0335223350589)";19.63402617;47.99198362;;;;n419;0.1244556
n146;"SRID=4326;POINT(6.82813596908193 51.1626762413706)";19.63402617;47.99198362;;;;n435;0.090998359
n147;"SRID=4326;POINT(7.50597329671546 51.401592550355)";40.25637302;-84.44687251;;;;n440;0.912968694
n148;"SRID=4326;POINT(6.84699931064759 51.2055917698058)";19.63402617;47.99198362;;;;n446;2.308222194
n149;"SRID=4326;POINT(7.19316578267403 50.798335064694)";31.33927712;166.0333945;;;;n447;3.507929751
n150;"SRID=4326;POINT(7.0473845241055 50.9055286094924)";29.30149374;59.30169238;;;;n464;0.015453069
n151;"SRID=4326;POINT(6.70967369516713 51.0909407427733)";73.59363409;51.58245005;;;;n471;0.004774405
n152;"SRID=4326;POINT(7.01293742640329 50.6176584938251)";31.75940004;156.185909;;;;n495;3.817045354
n153;"SRID=4326;POINT(6.33006858948983 51.2429161503794)";3000;63.11174546;;;;;
n154;"SRID=4326;POINT(7.0235444991641 50.999068409611)";28.17223079;53.24047092;;;;;
n155;"SRID=4326;POINT(7.72438401522458 51.4093341305984)";3000;604.5426239;;;;;
n156;"SRID=4326;POINT(6.84223115147656 50.8598647243573)";31.75940004;35.43557869;;;;;
n157;"SRID=4326;POINT(8.364229530696 51.9271204904611)";16.18169704;534.2170971;;;;;
n158;"SRID=4326;POINT(6.48812326381716 50.8810703125704)";22.42276663;3.105036453;;;;;
n159;"SRID=4326;POINT(8.05408735442182 53.3323026933898)";-165.3328425;-126.4806413;;;;;
n160;"SRID=4326;POINT(8.47791063608626 53.428485468955)";-167.6208293;-123.9501697;;;;;
n161;"SRID=4326;POINT(8.05283751634017 53.3338809598955)";-155.3318751;-143.0593216;;;;;
n162;"SRID=4326;POINT(6.85153113794826 50.9841704680083)";-85.80819929;-35.15471534;;;;;
n163;"SRID=4326;POINT(6.59601979462215 50.9525274624278)";17.71368788;20.36076553;;;;;
n164;"SRID=4326;POINT(7.33861258614081 51.6319781250427)";-6.12908166;369.0301519;;;;;
n165;"SRID=4326;POINT(7.70831848872651 51.6762033088437)";52.89203397;347.1355607;;;;;
n166;"SRID=4326;POINT(7.61702099509812 51.6371337640588)";52.89203397;347.1355607;;;;;
n167;"SRID=4326;POINT(7.52228010104186 51.5321980552231)";1897.546908;347.1355607;;;;;
